id,doi,title,authorString,authorAffiliations,journalTitle,pubYear,abstract
30928998,https://doi.org/10.4193/rhin18.237,Risk of mortality and cardiovascular events following macrolide prescription in chronic rhinosinusitis patients: a cohort study using linked primary care electronic health records.,"Williamson E, Denaxas S, Morris S, Clarke CS, Thomas M, Evans H, Direk K, Gonzalez-Izquierdo A, Little P, Lund V, Blackshaw H, Schilder A, Philpott C, Hopkins C, Carpenter J, Programme Team OBOTM.","Department of Medical Statistics, London School of Hygiene and Tropical Medicine, London, UK; HDR UK, London, UK.; HDR UK, London, UK; Institute of Health Informatics, UCL, London, UK.; Department of Applied Health Research, University College London, London, UK.; Research Department of Primary Care and Population Health, University College London, London, UK.; Primary Care and Population Science, University of Southampton, UK.; HDR UK, London, UK; Institute of Health Informatics, UCL, London, UK; Ear Institute, UCL, London, UK.; Institute of Health Informatics, UCL, London, UK.; Institute of Health Informatics, UCL, London, UK.; Primary Care and Population Science, University of Southampton, UK.; Ear Institute, UCL, London, UK.; Ear Institute, UCL, London, UK.; Ear Institute, UCL, London, UK.; Norwich Medical School, University of East Anglia, Norwich, UK; ENT Department, James Paget University Hospital NHS Foundation Trust, Great Yarmouth, UK.; ENT Department, Guy's and St Thomas' NHS Foundation Trust, London, UK.; Department of Medical Statistics, London School of Hygiene.",Rhinology,2019,"BACKGROUND:Macrolide antibiotics have demonstrated important anti-inflammatory and immunomodulatory properties in chronic rhinosinusitis (CRS) patients. However, reports of increased risks of cardiovascular events have led to safety concerns. We investigated the risk of all-cause and cardiac death, and cardiovascular outcomes, associated with macrolide use. METHODOLOGY:Observational cohort (1997-2016) using linked data from the Clinical Practice Research Datalink, Hospital Episodes Statistics, and the Office for National Statistics. Patients aged 16-80 years with CRS prescribed a macrolide antibiotic or penicillin were included, comparing prescriptions for macrolide antibiotics to penicillin. Outcomes were all-cause mortality, cardiac death, myocardial infarction, stroke, diagnosis of peripheral vascular disease, and cardiac arrhythmia. RESULTS:Analysis included 320,798 prescriptions received by 66,331 patients. There were 3,251 deaths, 815 due to cardiovascular causes, 925 incident myocardial infarctions, 859 strokes, 637 diagnoses of peripheral vascular disease, and 1,436 cardiac arrhythmias. A non-statistically significant trend towards increased risk of myocardial infarction during the first 30 days following macrolide prescription was observed. No statistically significant short- or long-term risks were observed for macrolide prescription. No significant risks were identified for clarithromycin in particular. CONCLUSIONS:Although not statistically significant, our best estimates suggest an increased short-term risk of myocardial infarction in patients with CRS following macrolide prescription, supporting previous observational evidence. However, confounding by indication remains a possible explanation for this apparent increased risk. We found no evidence of longer term increased risks."
30381314,https://doi.org/10.1136/bmjopen-2018-026290,Study protocol for investigating the impact of community home modification services on hospital utilisation for fall injuries: a controlled longitudinal study using data linkage.,"Hollinghurst J, Akbari A, Fry R, Watkins A, Berridge D, Clegg A, Hillcoat-Nalletamby S, Williams N, Lyons R, Mizen A, Walters A, Johnson R, Rodgers S.","Health Data Research UK (HDR-UK), Swansea University, Swansea, UK.; Health Data Research UK (HDR-UK), Swansea University, Swansea, UK.; Health Data Research UK (HDR-UK), Swansea University, Swansea, UK.; Health Data Research UK (HDR-UK), Swansea University, Swansea, UK.; Health Data Research UK (HDR-UK), Swansea University, Swansea, UK.; University of Leeds (Bradford Teaching Hospital), Bradford Institute for Health Research, Bradford Royal Infirmary, Bradford, UK.; College of Human and Health Sciences, Swansea University, Swansea, UK.; Care & Repair Cymru, Cardiff, UK.; Health Data Research UK (HDR-UK), Swansea University, Swansea, UK.; Health Data Research UK (HDR-UK), Swansea University, Swansea, UK.; Health Data Research UK (HDR-UK), Swansea University, Swansea, UK.; Health Data Research UK (HDR-UK), Swansea University, Swansea, UK.; Health Data Research UK (HDR-UK), Swansea University, Swansea, UK.",BMJ open,2018,"INTRODUCTION:This study will evaluate the effectiveness of home adaptations, both in preventing hospital admissions due to falls for older people, and improving timely discharge. Results will provide evidence for services at the interface between health and social care, informing policies seeking to promote healthy ageing through prudent healthcare and fall prevention. METHODS AND ANALYSIS:All individuals living in Wales, UK, aged 60 years and over, will be included in the study using anonymised linked data from the Secure Anonymised Information Linkage Databank. We will use a national database of home modifications implemented by the charity organisation Care & Repair Cymru (C&R) from 2009 to 2017 to define an intervention cohort. We will use the electronic Frailty Index to assign individual levels of frailty (fit, mild, moderate or severe) and use these to create a comparator group (non-C&R) of people who have not received a C&R intervention. Coprimary outcomes will be quarterly numbers of emergency hospital admissions attributed to falls at home, and the associated length of stay. Secondary outcomes include the time in moving to a care home following a fall, and the indicative financial costs of care for individuals who had a fall. We will use appropriate multilevel generalised linear models to analyse the number of hospital admissions related to falls. We will use Cox proportional hazard models to compare the length of stay for fall-related hospital admissions and the time in moving to a care home between the C&R and non-C&R cohorts. We will assess the impact per frailty group, correct for population migration and adjust for confounding variables. Indicative costs will be calculated using financial codes for individual-level hospital stays. Results will provide evidence for services at the interface between health and social care, informing policies seeking to promote healthy ageing through prudent healthcare and prevention. ETHICS AND DISSEMINATION:Information governance requirements for the use of record-linked data have been approved and only anonymised data will be used in our analysis. Our results will be submitted for publication in peer-reviewed journals. We will also work with lay members and the knowledge transfer team at Swansea University to create communication and dissemination materials on key findings."
31398202,https://doi.org/10.1371/journal.pone.0220771,The role of health and social factors in education outcome: A record-linked electronic birth cohort analysis.,"Evans A, Dunstan F, Fone DL, Bandyopadhyay A, Schofield B, Demmler JC, Rahman MA, Lyons RA, Paranjothy S.","Division of Population Medicine, School of Medicine, Cardiff University, Cardiff, Wales, United Kingdom.; Division of Population Medicine, School of Medicine, Cardiff University, Cardiff, Wales, United Kingdom.; Division of Population Medicine, School of Medicine, Cardiff University, Cardiff, Wales, United Kingdom.; Health Data Research UK, Swansea University, Wales, United Kingdom.; Division of Population Medicine, School of Medicine, Cardiff University, Cardiff, Wales, United Kingdom.; Health Data Research UK, Swansea University, Wales, United Kingdom.; Health Data Research UK, Swansea University, Wales, United Kingdom.; Health Data Research UK, Swansea University, Wales, United Kingdom.; Division of Population Medicine, School of Medicine, Cardiff University, Cardiff, Wales, United Kingdom.",PloS one,2019,"BACKGROUND AND OBJECTIVE:Health status in childhood is correlated with educational outcomes. Emergency hospital admissions during childhood are common but it is not known how these unplanned breaks from schooling impact on education outcomes. We hypothesised that children who had emergency hospital admissions had an increased risk of lower educational attainment, in addition to the increased risks associated with other health, social and school factors. METHODS:This record-linked electronic birth cohort, included children born in Wales between 1 January 1998 and 31 August 2001. We fitted multilevel logistic regression models grouped by schools, to determine whether emergency hospital inpatient admission before age 7 years was associated with the educational outcome of not attaining the expected level in a teacher-based assessment at age 7 years (KS1). We adjusted for pregnancy, perinatal, socio-economic, neighbourhood, pupil mobility and school-level factors. RESULTS:The cohort comprised 64 934 children. Overall, 4680 (7.2%) did not attain the expected educational level. Emergency admission to hospital was associated with poor educational attainment (OR 1.12 95% Credible Interval (CI) 1.05, 1.20 for all causes during childhood, OR 1.19 95%CI 1.07, 1.32 for injuries and external causes and OR 1.31 95%CI 1.04, 1.22 for admissions during infancy), after adjusting for known determinants of education outcomes such as extreme prematurity, being small for gestational age and socio-economic indicators, such as eligibility for free school meals. CONCLUSION:Emergency inpatient hospital admission during childhood, particularly during infancy or for injuries and external causes was associated with an increased risk of lower education attainment at age 7 years, in addition to the effects of pregnancy factors (gestational age, birthweight) and social deprivation. These findings support the need for injury prevention measures and additional support in school for affected children to help them to achieve their potential."
30537243,https://doi.org/10.1002/ejhf.1370,"Can advanced analytics fix modern medicine's problem of uncertainty, imprecision, and inaccuracy?","Ahmad T, Freeman JV, Asselbergs FW.","Section of Cardiovascular Medicine, Yale University School of Medicine, New Haven, CT, USA.; Section of Cardiovascular Medicine, Yale University School of Medicine, New Haven, CT, USA.; Health Data Research UK and Institute of Health Informatics, University College London, London, UK.",European journal of heart failure,2019,
31302040,https://doi.org/10.1016/j.jchf.2019.03.009,Risk for Heart Failure: The Opportunity for Prevention With the American Heart Association's Life's Simple 7.,"Uijl A, Koudstaal S, Vaartjes I, Boer JMA, Verschuren WMM, van der Schouw YT, Asselbergs FW, Hoes AW, Sluijs I.","Julius Center for Health Sciences and Primary Care, University Medical Center Utrecht, Utrecht University, Utrecht, the Netherlands; Health Data Research UK London, Institute for Health Informatics, University College London, London, United Kingdom. Electronic address: a.uijl@umcutrecht.nl.; Health Data Research UK London, Institute for Health Informatics, University College London, London, United Kingdom; Department of Cardiology, Division Heart & Lungs, University Medical Center Utrecht, Utrecht University, Utrecht, the Netherlands.; Julius Center for Health Sciences and Primary Care, University Medical Center Utrecht, Utrecht University, Utrecht, the Netherlands.; National Institute for Public Health and the Environment, Bilthoven, the Netherlands.; National Institute for Public Health and the Environment, Bilthoven, the Netherlands.; Julius Center for Health Sciences and Primary Care, University Medical Center Utrecht, Utrecht University, Utrecht, the Netherlands.; Health Data Research UK London, Institute for Health Informatics, University College London, London, United Kingdom; Department of Cardiology, Division Heart & Lungs, University Medical Center Utrecht, Utrecht University, Utrecht, the Netherlands; Institute of Cardiovascular Science, Faculty of Population Health Sciences, University College London, London, United Kingdom.; Julius Center for Health Sciences and Primary Care, University Medical Center Utrecht, Utrecht University, Utrecht, the Netherlands.; Julius Center for Health Sciences and Primary Care, University Medical Center Utrecht, Utrecht University, Utrecht, the Netherlands.",JACC. Heart failure,2019,"OBJECTIVES:The aim of this study is to determine whether combinations of specific Life's Simple 7 (LS7) components are associated with reduced risk for heart failure (HF). BACKGROUND:The American Heart Association recommends the concept of LS7: healthy behaviors that have been shown to reduce cardiovascular disease. METHODS:A total of 37,803 participants from the EPIC-NL (European Prospective Investigation Into Cancer and Nutrition-Netherlands) cohort were included (mean age: 49.4 ± 11.9 years, 74.7% women). The LS7 score ranged from 0 to 14 and was calculated by assigning 0, 1, or 2 points for smoking, physical activity, body mass index, diet, blood pressure, total cholesterol, and blood glucose. An overall ideal score (11 to 14 points) was present in 23.2% of participants, an intermediate score (9 or 10 points) in 35.3%, and an inadequate score (0 to 8 points) in 41.5%. RESULTS:Over a median follow-up period of 15.2 years (interquartile range: 14.1 to 16.5 years), 690 participants (1.8%) developed HF. In Cox proportional hazards models, ideal and intermediate LS7 scores were associated with reduced risk for HF compared with the inadequate category (hazard ratio: 0.45 [95% confidence interval (CI): 0.34 to 0.60] and hazard ratio: 0.53 [95% CI: 0.44 to 0.64], respectively). Our analyses show that combinations with specific LS7 components, notably glucose, body mass index, smoking, and blood pressure, are associated with a lower incidence of HF. CONCLUSIONS:A healthy lifestyle, as reflected in an ideal LS7 score, was associated with a 55% lower risk for HF compared with an inadequate LS7 score. Preventive strategies that target combinations of specific LS7 components could have a significant impact on decreasing incident HF in the population at large."
31329239,https://doi.org/10.1093/jamia/ocz105,UK phenomics platform for developing and validating electronic health record phenotypes: CALIBER.,"Denaxas S, Gonzalez-Izquierdo A, Direk K, Fitzpatrick NK, Fatemifar G, Banerjee A, Dobson RJB, Howe LJ, Kuan V, Lumbers RT, Pasea L, Patel RS, Shah AD, Hingorani AD, Sudlow C, Hemingway H.","Institute of Health Informatics, University College London, London,United Kingdom.; Institute of Health Informatics, University College London, London,United Kingdom.; Institute of Health Informatics, University College London, London,United Kingdom.; Institute of Health Informatics, University College London, London,United Kingdom.; Institute of Health Informatics, University College London, London,United Kingdom.; Institute of Health Informatics, University College London, London,United Kingdom.; Institute of Health Informatics, University College London, London,United Kingdom.; Institute of Cardiovascular Science, University College London, London, United Kingdom.; Health Data Research UK, London, United Kingdom.; Institute of Health Informatics, University College London, London,United Kingdom.; Institute of Health Informatics, University College London, London,United Kingdom.; Institute of Cardiovascular Science, University College London, London, United Kingdom.; Institute of Health Informatics, University College London, London,United Kingdom.; Health Data Research UK, London, United Kingdom.; Centre for Medical Informatics, Usher Institute of Population Health Science and Informatics, University of Edinburgh, Edinburgh, United Kingdom.; Institute of Health Informatics, University College London, London,United Kingdom.",Journal of the American Medical Informatics Association : JAMIA,2019,"OBJECTIVE:Electronic health records (EHRs) are a rich source of information on human diseases, but the information is variably structured, fragmented, curated using different coding systems, and collected for purposes other than medical research. We describe an approach for developing, validating, and sharing reproducible phenotypes from national structured EHR in the United Kingdom with applications for translational research. MATERIALS AND METHODS:We implemented a rule-based phenotyping framework, with up to 6 approaches of validation. We applied our framework to a sample of 15 million individuals in a national EHR data source (population-based primary care, all ages) linked to hospitalization and death records in England. Data comprised continuous measurements (for example, blood pressure; medication information; coded diagnoses, symptoms, procedures, and referrals), recorded using 5 controlled clinical terminologies: (1) read (primary care, subset of SNOMED-CT [Systematized Nomenclature of Medicine Clinical Terms]), (2) International Classification of Diseases-Ninth Revision and Tenth Revision (secondary care diagnoses and cause of mortality), (3) Office of Population Censuses and Surveys Classification of Surgical Operations and Procedures, Fourth Revision (hospital surgical procedures), and (4) DM+D prescription codes. RESULTS:Using the CALIBER phenotyping framework, we created algorithms for 51 diseases, syndromes, biomarkers, and lifestyle risk factors and provide up to 6 validation approaches. The EHR phenotypes are curated in the open-access CALIBER Portal (https://www.caliberresearch.org/portal) and have been used by 40 national and international research groups in 60 peer-reviewed publications. CONCLUSIONS:We describe a UK EHR phenomics approach within the CALIBER EHR data platform with initial evidence of validity and use, as an important step toward international use of UK EHR data for health research."
30940752,https://doi.org/10.1136/bmjopen-2018-023232,Using natural language processing to extract structured epilepsy data from unstructured clinic letters: development and validation of the ExECT (extraction of epilepsy clinical text) system.,"Fonferko-Shadrach B, Lacey AS, Roberts A, Akbari A, Thompson S, Ford DV, Lyons RA, Rees MI, Pickrell WO.","Neurology and Molecular Neuroscience Group, Institute of Life Science, Swansea University Medical School, Swansea University, Swansea, UK.; Neurology and Molecular Neuroscience Group, Institute of Life Science, Swansea University Medical School, Swansea University, Swansea, UK.; Institute of Psychiatry, Psychology and Neuroscience, King's College London, London, UK.; Health Data Research UK, Data Science Building, Swansea University Medical School, Swansea University, Swansea, UK.; Health Data Research UK, Data Science Building, Swansea University Medical School, Swansea University, Swansea, UK.; Health Data Research UK, Data Science Building, Swansea University Medical School, Swansea University, Swansea, UK.; Health Data Research UK, Data Science Building, Swansea University Medical School, Swansea University, Swansea, UK.; Neurology and Molecular Neuroscience Group, Institute of Life Science, Swansea University Medical School, Swansea University, Swansea, UK.; Neurology and Molecular Neuroscience Group, Institute of Life Science, Swansea University Medical School, Swansea University, Swansea, UK.",BMJ open,2019,"OBJECTIVE:Routinely collected healthcare data are a powerful research resource but often lack detailed disease-specific information that is collected in clinical free text, for example, clinic letters. We aim to use natural language processing techniques to extract detailed clinical information from epilepsy clinic letters to enrich routinely collected data. DESIGN:We used the general architecture for text engineering (GATE) framework to build an information extraction system, ExECT (extraction of epilepsy clinical text), combining rule-based and statistical techniques. We extracted nine categories of epilepsy information in addition to clinic date and date of birth across 200 clinic letters. We compared the results of our algorithm with a manual review of the letters by an epilepsy clinician. SETTING:De-identified and pseudonymised epilepsy clinic letters from a Health Board serving half a million residents in Wales, UK. RESULTS:We identified 1925 items of information with overall precision, recall and F1 score of 91.4%, 81.4% and 86.1%, respectively. Precision and recall for epilepsy-specific categories were: epilepsy diagnosis (88.1%, 89.0%), epilepsy type (89.8%, 79.8%), focal seizures (96.2%, 69.7%), generalised seizures (88.8%, 52.3%), seizure frequency (86.3%-53.6%), medication (96.1%, 94.0%), CT (55.6%, 58.8%), MRI (82.4%, 68.8%) and electroencephalogram (81.5%, 75.3%). CONCLUSIONS:We have built an automated clinical text extraction system that can accurately extract epilepsy information from free text in clinic letters. This can enhance routinely collected data for research in the UK. The information extracted with ExECT such as epilepsy type, seizure frequency and neurological investigations are often missing from routinely collected data. We propose that our algorithm can bridge this data gap enabling further epilepsy research opportunities. While many of the rules in our pipeline were tailored to extract epilepsy specific information, our methods can be applied to other diseases and also can be used in clinical practice to record patient information in a structured manner."
31109684,https://doi.org/10.1016/j.injury.2019.05.004,Agreement between medical record and administrative coding of common comorbidities in orthopaedic trauma patients.,"Daly S, Nguyen TQ, Gabbe BJ, Braaf S, Simpson P, Ekegren CL.","School of Medicine, Monash University, Melbourne, VIC, Australia.; Department of Epidemiology and Preventive Medicine, Monash University, Melbourne, VIC, Australia.; Department of Epidemiology and Preventive Medicine, Monash University, Melbourne, VIC, Australia; Health Data Research, UK.; Department of Epidemiology and Preventive Medicine, Monash University, Melbourne, VIC, Australia.; Department of Epidemiology and Preventive Medicine, Monash University, Melbourne, VIC, Australia.; Department of Epidemiology and Preventive Medicine, Monash University, Melbourne, VIC, Australia. Electronic address: christina.ekegren@monash.edu.",Injury,2019,"OBJECTIVE:To i) quantify the agreement between comorbidities documented within medical records and an orthopaedic trauma dataset; and ii) compare agreement between these sources before and after the introduction of new comorbidity coding rules in Australian hospitals. STUDY DESIGN AND SETTING:A random sample of adult (≥ 16 years) orthopaedic trauma patients (n = 400) were extracted from the Victorian Orthopaedic Trauma Outcomes Registry (VOTOR). Diagnoses of obesity, arthritis, diabetes and cardiac conditions documented within patients' medical records were compared to ICD-10-AM comorbidity codes (provided by hospitals) for the same admission. Agreement was calculated (Cohen's kappa) before and after the introduction of new coding rules. RESULTS:All comorbidities had the same or higher prevalence in medical record data compared to coded data. Kappa values ranged from <0.001 (poor agreement) for coronary artery disease to 0.94 (excellent agreement) for type 2 diabetes. There was improvement in agreement between sources for most conditions following the introduction of new coding rules. CONCLUSION:There has been improvement in the coding of certain comorbidities since the introduction of new coding rules, suggesting that, since 2015, administrative data has improved capacity to capture patients' comorbidity profiles. Consideration must be taken when using the ICD-10-AM data due to its limitations."
31353050,https://doi.org/10.1016/s0140-6736(19)31359-5,Eligibility and subsequent burden of cardiovascular disease of four strategies for blood pressure-lowering treatment: a retrospective cohort study.,"Herrett E, Gadd S, Jackson R, Bhaskaran K, Williamson E, van Staa T, Sofat R, Timmis A, Smeeth L.","Department of Non-Communicable Diseases Epidemiology, London School of Hygiene & Tropical Medicine, London, UK. Electronic address: emily.herrett@lshtm.ac.uk.; Department of Non-Communicable Diseases Epidemiology, London School of Hygiene & Tropical Medicine, London, UK.; Section of Epidemiology and Biostatistics, School of Population Health, University of Auckland, Auckland, New Zealand.; Department of Non-Communicable Diseases Epidemiology, London School of Hygiene & Tropical Medicine, London, UK.; Department of Medical Statistics, London School of Hygiene & Tropical Medicine, London, UK; Health Data Research UK, London, UK.; Centre for Health Informatics, Division of Informatics, Imaging and Data Science, School of Health Sciences, Faculty of Biology, Medicine and Health, University of Manchester, Manchester Academic Health Science Centre, Manchester, UK; Division of Pharmacoepidemiology and Clinical Pharmacology, Utrecht Institute of Pharmaceutical Sciences, Utrecht, Netherlands.; Institute of Health Informatics University College London, London, UK.; Barts Heart Centre, Queen Mary University London, London, UK.; Department of Non-Communicable Diseases Epidemiology, London School of Hygiene & Tropical Medicine, London, UK; Health Data Research UK, London, UK.","Lancet (London, England)",2019,"BACKGROUND:Worldwide treatment recommendations for lowering blood pressure continue to be guided predominantly by blood pressure thresholds, despite strong evidence that the benefits of blood pressure reduction are observed in patients across the blood pressure spectrum. In this study, we aimed to investigate the implications of alternative strategies for offering blood pressure treatment, using the UK as an illustrative example. METHODS:We did a retrospective cohort study in primary care patients aged 30-79 years without cardiovascular disease, using data from the UK's Clinical Practice Research Datalink linked to Hospital Episode Statistics and Office for National Statistics mortality. We assessed and compared four different strategies to determine eligibility for treatment: using 2011 UK National Institute for Health and Care Excellence (NICE) guideline, or proposed 2019 NICE guideline, or blood pressure alone (threshold ≥140/90 mm Hg), or predicted 10-year cardiovascular risk alone (QRISK2 score ≥10%). Patients were followed up until the earliest occurrence of a cardiovascular disease diagnosis, death, or end of follow-up period (March 31, 2016). For each strategy, we estimated the proportion of patients eligible for treatment and number of cardiovascular events that could be prevented with treatment. We then estimated eligibility and number of events that would occur during 10 years in the UK general population. FINDINGS:Between Jan 1, 2011, and March 31, 2016, 1 222 670 patients in the cohort were followed up for a median of 4·3 years (IQR 2·5-5·2). 271 963 (22·2%) patients were eligible for treatment under the 2011 NICE guideline, 327 429 (26·8%) under the proposed 2019 NICE guideline, 481 859 (39·4%) on the basis of a blood pressure threshold of 140/90 mm Hg or higher, and 357 840 (29·3%) on the basis of a QRISK2 threshold of 10% or higher. During follow-up, 32 183 patients were diagnosed with cardiovascular disease (overall rate 7·1 per 1000 person-years, 95% CI 7·0-7·2). Cardiovascular event rates in patients eligible for each strategy were 15·2 per 1000 person-years (95% CI 15·0-15·5) under the 2011 NICE guideline, 14·9 (14·7-15·1) under the proposed 2019 NICE guideline, 11·4 (11·3-11·6) with blood pressure threshold alone, and 16·9 (16·7-17·1) with QRISK2 threshold alone. Scaled to the UK population, we estimated that 233 152 events would be avoided under the 2011 NICE guideline (28 patients needed to treat for 10 years to avoid one event), 270 233 under the 2019 NICE guideline (29 patients), 301 523 using a blood pressure threshold (38 patients), and 322 921 using QRISK2 threshold (27 patients). INTERPRETATION:A cardiovascular risk-based strategy (QRISK2 ≥10%) could prevent over a third more cardiovascular disease events than the 2011 NICE guideline and a fifth more than the 2019 NICE guideline, with similar efficiency regarding number treated per event avoided. FUNDING:National Institute for Health Research."
30999919,https://doi.org/10.1186/s12911-019-0805-0,Identifying clinically important COPD sub-types using data-driven approaches in primary care population based electronic health records.,"Pikoula M, Quint JK, Nissen F, Hemingway H, Smeeth L, Denaxas S.","Institute of Health Informatics, University College London, 222 Euston Road, London, NW1 2DA, UK. m.pikoula@ucl.ac.uk.; Health Data Research UK London, University College London, 222 Euston Road, London, NW1 2DA, UK.; Health Data Research UK London, University College London, 222 Euston Road, London, NW1 2DA, UK.; Institute of Health Informatics, University College London, 222 Euston Road, London, NW1 2DA, UK.; Health Data Research UK London, University College London, 222 Euston Road, London, NW1 2DA, UK.; Institute of Health Informatics, University College London, 222 Euston Road, London, NW1 2DA, UK.",BMC medical informatics and decision making,2019,"BACKGROUND:COPD is a highly heterogeneous disease composed of different phenotypes with different aetiological and prognostic profiles and current classification systems do not fully capture this heterogeneity. In this study we sought to discover, describe and validate COPD subtypes using cluster analysis on data derived from electronic health records. METHODS:We applied two unsupervised learning algorithms (k-means and hierarchical clustering) in 30,961 current and former smokers diagnosed with COPD, using linked national structured electronic health records in England available through the CALIBER resource. We used 15 clinical features, including risk factors and comorbidities and performed dimensionality reduction using multiple correspondence analysis. We compared the association between cluster membership and COPD exacerbations and respiratory and cardiovascular death with 10,736 deaths recorded over 146,466 person-years of follow-up. We also implemented and tested a process to assign unseen patients into clusters using a decision tree classifier. RESULTS:We identified and characterized five COPD patient clusters with distinct patient characteristics with respect to demographics, comorbidities, risk of death and exacerbations. The four subgroups were associated with 1) anxiety/depression; 2) severe airflow obstruction and frailty; 3) cardiovascular disease and diabetes and 4) obesity/atopy. A fifth cluster was associated with low prevalence of most comorbid conditions. CONCLUSIONS:COPD patients can be sub-classified into groups with differing risk factors, comorbidities, and prognosis, based on data included in their primary care records. The identified clusters confirm findings of previous clustering studies and draw attention to anxiety and depression as important drivers of the disease in young, female patients."
