id,doi,title,authorString,authorAffiliations,journalTitle,pubYear,isOpenAccess,keywords,nationalPriorities,healthCategories,abstract,laySummary,urls
PPR186543,https://doi.org/10.1101/2020.07.10.20150656,Diagnostic value of skin manifestation of SARS-CoV-2 infection,"Bataille V, Visconti A, Rossi N, Murray B, Bournot A, Wolf J, Ourselin S, Steves C, Spector T, Falchi M.",,No Journal Info,2020,Y,,,,"SARS-CoV-2 causes multiple immune-related reactions at various stages of the disease. The wide variety of skin presentations has delayed linking these to the virus. Previous studies had attempted to look at the prevalence and timing of SARS-COV-2 rashes but were based on mostly hospitalized severe cases and had little follow up. Using data collected on a subset of 336,847 eligible UK users of the COVID Symptom Study app, we observed that 8.8% of the swab positive cases (total: 2,021 subjects) reported either a body rash or an acral rash, compared to 5.4% of those with a negative swab test (total: 25,136). Together, these two skin presentations showed an odds ratio (OR) of 1.67 (95% confidence interval [CI]: 1.41-1.96) for being swab positive. Skin rashes were also predictive in the larger untested group of symptomatic app users (N=54,652), as 8.2% of those who had reported at least one classical COVID-19 symptom, i.e., fever, persistent cough, and/or anosmia, also reported a rash. Data from an independent online survey of 11,546 respondents with a rash showed that in 17% of swab positive cases, the rash was the initial presentation. Furthermore, in 21%, the rash was the only clinical sign. Skin rashes cluster with other COVID-19 symptoms, are predictive of a positive swab test and occur in a significant number of cases, either alone or before other classical symptoms. Recognising rashes is important in identifying new and earlier COVID-19 cases.",,doi:https://doi.org/10.1101/2020.07.10.20150656; html:https://europepmc.org/article/PPR/PPR186543; pdf:https://europepmc.org/api/fulltextRepo?pprId=PPR186543&type=FILE&fileName=EMS87210-pdf.pdf&mimeType=application/pdf
PPR187496,https://doi.org/10.1101/2020.07.15.20151852,"Effect of Hydroxychloroquine in Hospitalized Patients with COVID-19: Preliminary results from a multi-centre, randomized, controlled trial.","Horby P, Mafham M, Linsell L, Bell JL, Staplin N, Emberson JR, Wiselka M, Ustianowski A, Elmahi E, Prudon B, Whitehouse A, Felton T, Williams J, Faccenda J, Underwood J, Baillie JK, Chappell L, Faust SN, Jaki T, Jeffery K, Lim WS, Montgomery A, Rowan K, Tarning J, Watson JA, White NJ, Juszczak E, Haynes R, Landray MJ.",,No Journal Info,2020,Y,,,,"Background: Hydroxychloroquine and chloroquine have been proposed as treatments for coronavirus disease 2019 (COVID-19) on the basis of in vitro activity, uncontrolled data, and small randomized studies. Methods: The Randomised Evaluation of COVID-19 therapy (RECOVERY) trial is a randomized, controlled, open-label, platform trial comparing a range of possible treatments with usual care in patients hospitalized with COVID-19. We report the preliminary results for the comparison of hydroxychloroquine vs. usual care alone. The primary outcome was 28-day mortality. Results: 1561 patients randomly allocated to receive hydroxychloroquine were compared with 3155 patients concurrently allocated to usual care. Overall, 418 (26.8%) patients allocated hydroxychloroquine and 788 (25.0%) patients allocated usual care died within 28 days (rate ratio 1.09; 95% confidence interval [CI] 0.96 to 1.23; P=0.18). Consistent results were seen in all pre-specified subgroups of patients. Patients allocated to hydroxychloroquine were less likely to be discharged from hospital alive within 28 days (60.3% vs. 62.8%; rate ratio 0.92; 95% CI 0.85-0.99) and those not on invasive mechanical ventilation at baseline were more likely to reach the composite endpoint of invasive mechanical ventilation or death (29.8% vs. 26.5%; risk ratio 1.12; 95% CI 1.01-1.25). There was no excess of new major cardiac arrhythmia. Conclusions: In patients hospitalized with COVID-19, hydroxychloroquine was not associated with reductions in 28-day mortality but was associated with an increased length of hospital stay and increased risk of progressing to invasive mechanical ventilation or death.",,doi:https://doi.org/10.1101/2020.07.15.20151852; html:https://europepmc.org/article/PPR/PPR187496; pdf:https://europepmc.org/api/fulltextRepo?pprId=PPR187496&type=FILE&fileName=EMS87168-pdf.pdf&mimeType=application/pdf
PPR186981,https://doi.org/10.1101/2020.07.12.20152298,The effect of international travel restrictions on internal spread of COVID-19,"Russell TW, Wu J, Clifford S, Edmunds J, Kucharski AJ, Jit M.",,No Journal Info,2020,Y,,,,"Background: Countries have restricted international arrivals to delay the spread of COVID-19. These measures carry a high economic and social cost. They may have little impact on COVID-19 epidemics if there are many more cases resulting from local transmission compared to imported cases.  Methods: To inform decisions about international travel restrictions, we compared the ratio of expected COVID-19 cases from international travel (assuming no travel restrictions) to the expected COVID-19 cases arising from internal spread on an average day in May 2020 in each country. COVID-19 prevalence and incidence were estimated using a modelling framework that adjusts reported cases for under-ascertainment and asymptomatic infections. Findings: With May 2019 travel volumes, imported cases account for <10% of total incidence in 103 (95% credible interval: 76 - 130) out of 142 countries, and <1% in 48 (95% CrI: 9 - 95). If we assume that travel would decrease compared to May 2019 even in the absence of formal restrictions, then imported cases account for <10% of total incidence in 109-123 countries and <1% in 61-88 countries (depending on the assumptions about travel reductions).  Interpretation: While countries can expect infected travellers to arrive in the absence of travel restrictions, in most countries these imported cases likely contribute little to local COVID-19 epidemics. Stringent travel restrictions may have limited impact on epidemic dynamics except in countries with low COVID-19 incidence and large numbers of arrivals from other countries.",,doi:https://doi.org/10.1101/2020.07.12.20152298; html:https://europepmc.org/article/PPR/PPR186981; pdf:https://europepmc.org/api/fulltextRepo?pprId=PPR186981&type=FILE&fileName=EMS87133-pdf.pdf&mimeType=application/pdf
PPR191930,https://doi.org/10.1101/2020.07.24.20161281,Strategies to reduce the risk of SARS-CoV-2 re-introduction from international travellers,"Clifford S, Quilty BJ, Russell TW, Liu Y, Chan YD, Pearson CAB, Eggo RM, Endo A, Flasche S, Edmunds WJ, CMMID COVID-19 Working Group.",,No Journal Info,2020,Y,,,,"To mitigate SARS-CoV-2 transmission risks from international travellers, many countries currently use a combination of up to 14 days of self-quarantine on arrival and testing for active infection. We used a simulation model of air travellers arriving to the UK from the EU or the USA and the timing of their stages of infection to evaluate the ability of these strategies to reduce the risk of seeding community transmission. We find that a quarantine period of 8 days on arrival with a PCR test on day 7 (with a 1-day delay for test results) can reduce the number of infectious arrivals released into the community by a median 94% compared to a no quarantine, no test scenario. This reduction is similar to that achieved by a 14-day quarantine period (median 99% reduction). Shorter quarantine periods still can prevent a substantial amount of transmission; all strategies in which travellers spend at least 5 days (the mean incubation period) in quarantine and have at least one negative test before release are highly effective (e.g. a test on day 5 with release on day 6 results in a median 88% reduction in transmission potential). Without intervention, the current high prevalence in the US (40 per 10,000) results in a higher expected number of infectious arrivals per week (up to 23) compared to the EU (up to 12), despite an estimated 8 times lower volume of travel in July 2020.  Requiring a 14-day quarantine period likely results in less than 1 infectious traveller each entering the UK per week from the EU and the USA (97.5th percentile). We also find that on arrival the transmission risk is highest from pre-symptomatic travellers; quarantine policies will shift this risk increasingly towards asymptomatic infections if eventually-symptomatic individuals self-isolate after the onset of symptoms. As passenger numbers recover, strategies to reduce the risk of re-introduction should be evaluated in the context of domestic SARS-CoV-2 incidence, preparedness to manage new outbreaks, and the economic and psychological impacts of quarantine.",,doi:https://doi.org/10.1101/2020.07.24.20161281; html:https://europepmc.org/article/PPR/PPR191930; pdf:https://europepmc.org/api/fulltextRepo?pprId=PPR191930&type=FILE&fileName=EMS87861-pdf.pdf&mimeType=application/pdf
PPR160805,https://doi.org/10.1101/2020.05.07.20093849,The contribution of asymptomatic SARS-CoV-2 infections to transmission - a model-based analysis of the Diamond Princess outbreak,"Emery J, Russell T, Liu Y, Hellewell J, Pearson C, CMMID 2019-nCoV working group, Knight G, Eggo R, Kucharski A, Funk S, Flasche S, Houben R.","1 Centre for Mathematical Modelling of infectious diseases, Department of Infectious Disease Epidemiology, Faculty of Epidemiology and Population Health, London School of Hygiene and Tropical Medicine, Keppel Street, WC1E 7HT, London, UK; 1 Centre for Mathematical Modelling of infectious diseases, Department of Infectious Disease Epidemiology, Faculty of Epidemiology and Population Health, London School of Hygiene and Tropical Medicine, Keppel Street, WC1E 7HT, London, UK; 1 Centre for Mathematical Modelling of infectious diseases, Department of Infectious Disease Epidemiology, Faculty of Epidemiology and Population Health, London School of Hygiene and Tropical Medicine, Keppel Street, WC1E 7HT, London, UK; 1 Centre for Mathematical Modelling of infectious diseases, Department of Infectious Disease Epidemiology, Faculty of Epidemiology and Population Health, London School of Hygiene and Tropical Medicine, Keppel Street, WC1E 7HT, London, UK; 1 Centre for Mathematical Modelling of infectious diseases, Department of Infectious Disease Epidemiology, Faculty of Epidemiology and Population Health, London School of Hygiene and Tropical Medicine, Keppel Street, WC1E 7HT, London, UK; 1 Centre for Mathematical Modelling of infectious diseases, Department of Infectious Disease Epidemiology, Faculty of Epidemiology and Population Health, London School of Hygiene and Tropical Medicine, Keppel Street, WC1E 7HT, London, UK; 1 Centre for Mathematical Modelling of infectious diseases, Department of Infectious Disease Epidemiology, Faculty of Epidemiology and Population Health, London School of Hygiene and Tropical Medicine, Keppel Street, WC1E 7HT, London, UK; 1 Centre for Mathematical Modelling of infectious diseases, Department of Infectious Disease Epidemiology, Faculty of Epidemiology and Population Health, London School of Hygiene and Tropical Medicine, Keppel Street, WC1E 7HT, London, UK; 1 Centre for Mathematical Modelling of infectious diseases, Department of Infectious Disease Epidemiology, Faculty of Epidemiology and Population Health, London School of Hygiene and Tropical Medicine, Keppel Street, WC1E 7HT, London, UK; 1 Centre for Mathematical Modelling of infectious diseases, Department of Infectious Disease Epidemiology, Faculty of Epidemiology and Population Health, London School of Hygiene and Tropical Medicine, Keppel Street, WC1E 7HT, London, UK; 1 Centre for Mathematical Modelling of infectious diseases, Department of Infectious Disease Epidemiology, Faculty of Epidemiology and Population Health, London School of Hygiene and Tropical Medicine, Keppel Street, WC1E 7HT, London, UK; 1 Centre for Mathematical Modelling of infectious diseases, Department of Infectious Disease Epidemiology, Faculty of Epidemiology and Population Health, London School of Hygiene and Tropical Medicine, Keppel Street, WC1E 7HT, London, UK",No Journal Info,2020,Y,Transmission; Asymptomatic Infections; Covid-19; Sars-cov-2,,,"Background: Some key gaps in the understanding of SARS-CoV-2 infection remain. One of them is the contribution to transmission from individuals experiencing asymptomatic infections. We aimed to characterise the proportion and infectiousness of asymptomatic infections using data from the outbreak on the Diamond Princess cruise ship.  Methods: We used a transmission model of COVID-19 with asymptomatic and presymptomatic states calibrated to outbreak data from the Diamond Princess, to quantify the contribution of asymptomatic infections to transmission. Data available included the date of symptom onset for symptomatic disease for passengers and crew, the number of symptom agnostic tests done each day, and date of positive test for asymptomatic and presymptomatic individuals. Findings: On the Diamond Princess 74% (70-78%) of infections proceeded asymptomatically, i.e. a 1:3.8 case-to-infection ratio. Despite the intense testing 53%, (51-56%) of infections remained undetected, most of them asymptomatic. Asymptomatic individuals were the source for 69% (20-85%) of all infections. While the data did not allow identification of the infectiousness of asymptomatic infections, assuming no or low infectiousness resulted in posterior estimates for the net reproduction number of an individual progressing through presymptomatic and symptomatic stages in excess of 15. Interpretation: Asymptomatic SARS-CoV-2 infections may contribute substantially to transmission. This is essential to consider for countries when assessing the potential effectiveness of ongoing control measures to contain COVID-19.",The work investigates the cases of COVID-19 recorded on the diamond princess cruise ship. The work identifies that many cases were asymptomatic and are likely to contribute to transmission.,doi:https://doi.org/10.1101/2020.05.07.20093849; html:https://europepmc.org/article/PPR/PPR160805; pdf:https://europepmc.org/api/fulltextRepo?pprId=PPR160805&type=FILE&fileName=EMS86859-pdf.pdf&mimeType=application/pdf
PPR184933,https://doi.org/10.1101/2020.07.07.20148460,Reconstructing the global dynamics of under-ascertained COVID-19 cases and infections,"Golding N, Russell TW, Abbott S, Hellewell J, Pearson CAB, van Zandvoort K, Jarvis CI, Gibbs H, Liu Y, Eggo RM, Edmunds JW, Kucharski AJ.",,No Journal Info,2020,Y,,,,"Background: Asymptomatic or subclinical SARS-CoV-2 infections are often unreported, which means that confirmed case counts may not accurately reflect underlying epidemic dynamics. Understanding the level of ascertainment (the ratio of confirmed symptomatic cases to the true number of symptomatic individuals) and undetected epidemic progression is crucial to informing COVID-19 response planning, including the introduction and relaxation of control measures. Estimating case ascertainment over time allows for accurate estimates of specific outcomes such as seroprevalence, which is essential for planning control measures.  Methods: Using reported data on COVID-19 cases and fatalities globally, we estimated the proportion of symptomatic cases (i.e. any person with any of fever >= to 37.5C, cough, shortness of breath, sudden onset of anosmia, ageusia or dysgeusia illness) that were reported in 210 countries and territories, given those countries had experienced more than ten deaths. We used published estimates of the case fatality ratio (CFR) as an assumed baseline. We then calculated the ratio of this baseline CFR to an estimated local delay-adjusted CFR to estimate the level of under-ascertainment in a particular location. We then fit a Bayesian Gaussian process model to estimate the temporal pattern of under-ascertainment.  Results: We estimate that, during March 2020, the median percentage of symptomatic cases detected across the 84 countries which experienced more than ten deaths ranged from 2.38% (Bangladesh) to 99.6% (Chile). Across the ten countries with the highest number of total confirmed cases as of 6th July 2020, we estimated that the peak number of symptomatic cases ranged from 1.4 times (Chile) to 17.8 times (France) larger than reported. Comparing our model with national and regional seroprevalence data where available, we find that our estimates are consistent with observed values. Finally, we estimated seroprevalence for each country. Despite low case detection in some countries, our results that adjust for this still suggest that all countries have had only a small fraction of their populations infected as of July 2020.  Conclusions: We found substantial under-ascertainment of symptomatic cases, particularly at the peak of the first wave of the SARS-CoV-2 pandemic, in many countries. Reported case counts will therefore likely underestimate the rate of outbreak growth initially and underestimate the decline in the later stages of an epidemic. Although there was considerable under-reporting in many locations, our estimates were consistent with emerging serological data, suggesting that the proportion of each country's population infected with SARS-CoV-2 worldwide is generally low.",,doi:https://doi.org/10.1101/2020.07.07.20148460; html:https://europepmc.org/article/PPR/PPR184933; pdf:https://europepmc.org/api/fulltextRepo?pprId=PPR184933&type=FILE&fileName=EMS87337-pdf.pdf&mimeType=application/pdf
PPR184537,https://doi.org/10.1101/2020.07.03.20145912,Ultraviolet A Radiation and COVID-19 Deaths: A Multi Country Study,"Cherrie M, Clemens T, Colandrea C, Feng Z, Webb D, Dibben C, Weller RB.",,No Journal Info,2020,Y,,,,"Objectives To determine whether UVA exposure might be associated with COVID-19 deaths Design Ecological regression, with replication in two other countries and pooled estimation Setting 2,474 counties of the contiguous USA, 6,755 municipalities in Italy, 6,274 small areas in England. Only small areas in their 'Vitamin D winter' (monthly mean UVvitd of under 165 KJ/m2) from Jan to April 2020. Participants The 'at-risk' population is the total small area population, with measures to incorporate spatial infection into the model. The model is adjusted for potential confounders including long-term winter temperature and humidity. Main outcome measures We derive UVA measures for each area from remote sensed data and estimate their relationship with COVID-19 mortality with a random effect for States, in a multilevel zero-inflated negative binomial model. In the USA and England death certificates had to record COVID-19. In Italy excess deaths in 2020 over expected from 2015-19. Data sources Satellite derived mean daily UVA dataset from Japan Aerospace Exploration Agency. Data on deaths compiled by Center for Disease Control (USA), Office for National Statistics (England) and Italian Institute of Statistics. Results Daily mean UVA (January-April 2020) varied between 450 to 1,000 KJ/m2 across the three countries. Our fully adjusted model showed an inverse correlation between UVA and COVID-19 mortality with a Mortality Risk Ratio (MRR) of 0.71 (0.60 to 0.85) per 100KJ/m2 increase UVA in the USA, 0.81 (0.71 to 0.93) in Italy and 0.49 (0.38 to 0.64) in England. Pooled MRR was 0.68 (0.52 to 0.88). Conclusions Our analysis, replicated in 3 independent national datasets, suggests ambient UVA exposure is associated with lower COVID-19 specific mortality. This effect is independent of vitamin D, as it occurred at irradiances below that likely to induce significant cutaneous vitamin D3 synthesis. Causal interpretations must be made cautiously in observational studies. Nonetheless this study suggests strategies for reduction of COVID-19 mortality.",,doi:https://doi.org/10.1101/2020.07.03.20145912; html:https://europepmc.org/article/PPR/PPR184537; pdf:https://europepmc.org/api/fulltextRepo?pprId=PPR184537&type=FILE&fileName=EMS87521-pdf.pdf&mimeType=application/pdf
PPR191969,https://doi.org/10.1101/2020.07.22.20159772,Projecting contact matrices in 177 geographical regions: an update and comparison with empirical data for the COVID-19 era,"Prem K, van Zandvoort K, Klepac P, Eggo RM, Davies NG, Cook AR, Jit M, Centre for the Mathematical Modelling of Infectious Diseases COVID-19 Working Group.",,No Journal Info,2020,Y,,,,"Mathematical models have played a key role in understanding the spread of directly-transmissible infectious diseases such as Coronavirus Disease 2019 (COVID-19), as well as the effectiveness of public health responses. As the risk of contracting directly-transmitted infections depends on who interacts with whom, mathematical models often use contact matrices to characterise the spread of infectious pathogens. These contact matrices are usually generated from diary-based contact surveys. However, the majority of places in the world do not have representative empirical contact studies, so synthetic contact matrices have been constructed using more widely available setting-specific survey data on household, school, classroom, and workplace composition combined with empirical data on contact patterns in Europe. In 2017, the largest set of synthetic contact matrices to date were published for 152 geographical locations. In this study, we update these matrices with the most recent data and extend our analysis to 177 geographical locations. Due to the observed geographic differences within countries, we also quantify contact patterns in rural and urban settings where data is available. Further, we compare both the 2017 and 2020 synthetic matrices to out-of-sample empirically-constructed contact matrices, and explore the effects of using both the empirical and synthetic contact matrices when modelling physical distancing interventions for the COVID-19 pandemic. We found that the synthetic contact matrices reproduce the main traits of the contact patterns in the empirically-constructed contact matrices. Models parameterised with the empirical and synthetic matrices generated similar findings with few differences observed in age groups where the empirical matrices have missing or aggregated age groups. This finding means that synthetic contact matrices may be used in modelling outbreaks in settings for which empirical studies have yet to be conducted.",,doi:https://doi.org/10.1101/2020.07.22.20159772; html:https://europepmc.org/article/PPR/PPR191969; pdf:https://europepmc.org/api/fulltextRepo?pprId=PPR191969&type=FILE&fileName=EMS87995-pdf.pdf&mimeType=application/pdf
PPR187554,https://doi.org/10.1101/2020.07.14.20152629,Covid-19 infection and attributable mortality in UK Long Term Care Facilities: Cohort study using active surveillance and electronic records (March-June 2020),"Dutey-Magni PF, Williams H, Jhass A, Rait G, Hemingway H, Hayward AC, Shallcross L.",,No Journal Info,2020,Y,,,,"Background: Rates of Covid-19 infection have declined in many countries, but outbreaks persist in residents of long-term care facilities (LTCFs) who are at high risk of severe outcomes. Epidemiological data from LTCFs are scarce. We used population-level active surveillance to estimate incidence of, and risk factors for Covid-19, and attributable mortality in elderly residents of LTCFs. Methods: Cohort study using individual-level electronic health records from 8,713 residents and daily counts of infection for 9,339 residents and 11,604 staff across 179 UK LTCFs. We modelled risk factors for infection and mortality using Cox proportional hazards and estimated attributable fractions. Findings: 2,075/9,339 residents developed Covid-19 symptoms (22.2% [95% confidence interval: 21.4%; 23.1%]), while 951 residents (10.2% [9.6%; 10.8%]) and 585 staff (5.0% [4.7%; 5.5%]) had laboratory confirmed infections. Confirmed infection incidence in residents and staff respectively was 152.6 [143.1; 162.6] and 62.3 [57.3; 67.5] per 100,000 person-days. 121/179 (67.6%) LTCFs had at least one Covid-19 infection or death. Lower staffing ratios and higher occupancy rates were independent risk factors for infection. 1,694 all-cause deaths occurred in 8,713 (19.4% [18.6%; 20.3%]) residents. 217 deaths occurred in 607 residents with confirmed infection (case-fatality rate: 35.7% [31.9%; 39.7%]). 567/1694 (33.5%) of all-cause deaths were attributable to Covid-19, 28.0% of which occurred in residents with laboratory-confirmed infection. The remainder of excess deaths occurred in asymptomatic or symptomatic residents in the context of limited testing for infection, suggesting substantial under-ascertainment. Interpretation: 1 in 5 residents had symptoms of infection during the pandemic, but many cases were not tested. Higher occupancy and lower staffing levels increase infection risk. Disease control measures should integrate active surveillance and testing with fundamental changes in staffing and care home occupancy to protect staff and residents from infection. Funding: Economic and Social Research Council [ES/V003887/1].",,doi:https://doi.org/10.1101/2020.07.14.20152629; html:https://europepmc.org/article/PPR/PPR187554; pdf:https://europepmc.org/api/fulltextRepo?pprId=PPR187554&type=FILE&fileName=EMS87167-pdf.pdf&mimeType=application/pdf
PPR185844,https://doi.org/10.1101/2020.07.08.20148965,A case-control and cohort study to determine the relationship between ethnic background and severe COVID-19,"Zakeri R, Bendayan R, Ashworth M, Bean DM, Dodhia H, Durbaba S, O Gallagher K, Palmer C, Curcin V, Aitken E, Bernal W, Barker RD, Norton S, Gulliford MC, Teo JT, Galloway J, Dobson RJ, Shah AM.",,No Journal Info,2020,Y,,,,"Background. People of minority ethnic background may be disproportionately affected by severe COVID-19 for reasons that are unclear. We sought to examine the relationship between ethnic background and (1) hospital admission for severe COVID-19; (2) in-hospital mortality.  Methods. We conducted a case-control study of 872 inner city adult residents admitted to hospital with confirmed COVID-19 (cases) and 3,488 matched controls randomly sampled from a primary healthcare database comprising 344,083 people resident in the same region. To examine in-hospital mortality, we conducted a cohort study of 1827 adults consecutively admitted with COVID-19. Data collected included hospital admission for COVID-19, demographics, comorbidities, in-hospital mortality. The primary exposure variable was self-defined ethnicity.  Results. The 872 cases comprised 48.1% Black, 33.7% White, 12.6% Mixed/Other and 5.6% Asian patients. In conditional logistic regression analyses, Black and Mixed/Other ethnicity were associated with higher admission risk than white (OR 3.12 [95% CI 2.63-3.71] and 2.97 [2.30- 3.85] respectively). Adjustment for comorbidities and deprivation modestly attenuated the association (OR 2.28 [1.87-2.79] for Black, 2.66 [2.01-3.52] for Mixed/Other). Asian ethnicity was not associated with higher admission risk (OR 1.20 [0.86-1.66]). In the cohort study of 1827 patients, 455 (28.9%) died over a median (IQR) of 8 (4-16) days. Age and male sex, but not Black (adjusted HR 0.84 [0.63-1.11]) or Mixed/Other ethnicity (adjusted HR 0.69 [0.43-1.10]), were associated with in-hospital mortality. Asian ethnicity was associated with higher in-hospital mortality (adjusted HR 1.54 [0.98-2.41]).  Conclusions. Black and Mixed ethnicity are independently associated with greater admission risk with COVID-19 and may be risk factors for development of severe disease. Comorbidities and socioeconomic factors only partly account for this and additional ethnicity-related factors may play a large role. The impact of COVID-19 may be different in Asians.",,doi:https://doi.org/10.1101/2020.07.08.20148965; html:https://europepmc.org/article/PPR/PPR185844; pdf:https://europepmc.org/api/fulltextRepo?pprId=PPR185844&type=FILE&fileName=EMS87258-pdf.pdf&mimeType=application/pdf
