id,doi,title,authorString,authorAffiliations,journalTitle,pubYear,abstract
32565483,https://doi.org/10.1136/bmjopen-2020-039097,Early Pandemic Evaluation and Enhanced Surveillance of COVID-19 (EAVE II): protocol for an observational study using linked Scottish national data.,"Simpson CR, Robertson C, Vasileiou E, McMenamin J, Gunson R, Ritchie LD, Woolhouse M, Morrice L, Kelly D, Stagg HR, Marques D, Murray J, Sheikh A.",,BMJ open,2020,"INTRODUCTION:Following the emergence of the novel severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) in December 2019 and the ensuing COVID-19 pandemic, population-level surveillance and rapid assessment of the effectiveness of existing or new therapeutic or preventive interventions are required to ensure that interventions are targeted to those at highest risk of serious illness or death from COVID-19. We aim to repurpose and expand an existing pandemic reporting platform to determine the attack rate of SARS-CoV-2, the uptake and effectiveness of any new pandemic vaccine (once available) and any protective effect conferred by existing or new antimicrobial drugs and other therapies. METHODS AND ANALYSIS:A prospective observational cohort will be used to monitor daily/weekly the progress of the COVID-19 epidemic and to evaluate the effectiveness of therapeutic interventions in approximately 5.4 million individuals registered in general practices across Scotland. A national linked dataset of patient-level primary care data, out-of-hours, hospitalisation, mortality and laboratory data will be assembled. The primary outcomes will measure association between: (A) laboratory confirmed SARS-CoV-2 infection, morbidity and mortality, and demographic, socioeconomic and clinical population characteristics; and (B) healthcare burden of COVID-19 and demographic, socioeconomic and clinical population characteristics. The secondary outcomes will estimate: (A) the uptake (for vaccines only); (B) effectiveness; and (C) safety of new or existing therapies, vaccines and antimicrobials against SARS-CoV-2 infection. The association between population characteristics and primary outcomes will be assessed via multivariate logistic regression models. The effectiveness of therapies, vaccines and antimicrobials will be assessed from time-dependent Cox models or Poisson regression models. Self-controlled study designs will be explored to estimate the risk of therapeutic and prophylactic-related adverse events. ETHICS AND DISSEMINATION:We obtained approval from the National Research Ethics Service Committee, Southeast Scotland 02. The study findings will be presented at international conferences and published in peer-reviewed journals."
PMC7201389,https://doi.org/10.1038/s42254-020-0178-4,Modelling COVID-19.,"Vespignani A, Tian H, Dye C, Lloyd-Smith JO, Eggo RM, Shrestha M, Scarpino SV, Gutierrez B, Kraemer MUG, Wu J, Leung K, Leung GM.",,Nature Reviews Physics,,"The contributorsAlessandro Vespignani is an Italian-American physicist, currently Sternberg Family Distinguished University Professor of Physics, Computer Science and Health Sciences at Northeastern University in Boston, USA. He is the director of the Network Science Institute, and is best known for his work on complex networks and his contributions to computational epidemiology by developing specific tools for analysing the global spread of epidemics.Huaiyu Tian is a Professor of Ecology and Evolution of Infectious Disease at Beijing Normal University, China, and Oxford Martin Visiting Fellow at the University of Oxford. His interdisciplinary research focuses on the mechanistic processes that link biological and ecological change to disease dynamics. His lab combines geospatial computing, field surveillance, molecular epidemiology and ecological modelling.Christopher Dye is a Visiting Professor of Zoology and Oxford Martin Visiting Fellow at the University of Oxford. He is a former Director of Strategy at the World Health Organization, and is currently editor of coronavirusexplained.ukri.org/en/, a website that explains the science of coronavirus outbreaks, hosted by UK Research and Innovation (UKRI).James O. Lloyd-Smith is a professor in the Department of Ecology and Evolutionary Biology at the University of California, Los Angeles. His research explores the ecological and evolutionary dynamics of infectious disease in animal and human populations, with emphasis on the emergence of novel pathogens. His group combines mathematical models, statistical analysis, and laboratory, clinical and field studies to study diseases such as monkeypox, leptospirosis, influenza and now COVID-19.Rosalind M. Eggo is a mathematical modeller focusing on directly transmitted viral pathogens and the severe outcomes resulting from infection. She works at the London School of Hygiene and Tropical Medicine.Munik Shrestha is a postdoctoral researcher at Northeastern University in the Network Science Institute. He has contributed fundamental theory on message-passing algorithms for estimating the time-varying statistics of epidemics. He received his Ph.D. in physics from the University of New Mexico and was a Santa Fe Institute graduate fellow.Samuel V. Scarpino is an assistant professor in the Network Science Institute at Northeastern University, with appointments in marine and environmental sciences, physics, and health sciences. He is also an ISI Foundation complexity fellow. Scarpino earned a Ph.D. in evolution, ecology and behaviour from the University of Texas at Austin and was a Santa Fe Institute Omidyar postdoctoral fellow.Bernardo Gutierrez is a D.Phil. student in the Department of Zoology at the University of Oxford, and a guest researcher at Universidad San Francisco de Quito. He studies the evolution of emerging viruses and the integration of epidemiological and genomic data to track outbreaks. He began contributing to the Open COVID-19 Data Working Group during the start of the SARS-CoV-2 epidemic in January 2020.Moritz U. G. Kraemer is a research fellow at the University of Oxford and founder of the Open COVID-19 Data Working Group. Moritz is an epidemiologist working on the integration of multiple data streams to better understand the dynamics of emerging infectious diseases.Joseph Wu is a professor in the School of Public Health at the University of Hong Kong. He specializes in disease modelling and data science.Kathy Leung is an infectious disease epidemiologist at the University of Hong Kong. She specializes in mathematical modelling of communicable and non-communicable diseases, including COVID-19, influenza, Middle East respiratory syndrome, human papillomavirus, colorectal cancer and breast cancer.Gabriel M. Leung is an infectious disease epidemiologist, Dean of Medicine and Zimmern Professor of Population Health at the University of Hong Kong."
32564639,https://doi.org/10.1177/0300060520931298,Mortality statistics in England and Wales: the SARS-CoV-2 paradox.,"Harrison G, Newport D, Robbins T, Arvanitis TN, Stein A.",,The Journal of international medical research,2020,"OBJECTIVE:To analyse mortality statistics in the United Kingdom during the initial phases of the severe acute respiratory coronavirus 2 (SARS-CoV-2) pandemic and to understand the impact of the pandemic on national mortality. METHODS:Retrospective review of weekly national mortality statistics in the United Kingdom over the past 5 years, including subgroup analysis of respiratory mortality rates. RESULTS:During the early phases of the SARS-CoV-2 pandemic in the first months of 2020, there were consistently fewer deaths per week compared with the preceding 5 years. This pattern was not observed at any other time within the past 5 years. We have termed this phenomenon the ""SARS-CoV-2 paradox."" We postulate potential explanations for this seeming paradox and explore the implications of these data. CONCLUSIONS:Paradoxically, but potentially importantly, lower rather than higher weekly mortality rates were observed during the early stages of the SARS-CoV-2 pandemic. This paradox may have implications for current and future healthcare utilisation. A rebound increase in non-SARS-CoV-2 mortality later this year might coincide with the peak of SARS-CoV-2 admissions and mortality."
32405103,https://doi.org/10.1016/s0140-6736(20)30854-0,Estimating excess 1-year mortality associated with the COVID-19 pandemic according to underlying conditions and age: a population-based cohort study.,"Banerjee A, Pasea L, Harris S, Gonzalez-Izquierdo A, Torralbo A, Shallcross L, Noursadeghi M, Pillay D, Sebire N, Holmes C, Pagel C, Wong WK, Langenberg C, Williams B, Denaxas S, Hemingway H.",,"Lancet (London, England)",2020,"BACKGROUND:The medical, societal, and economic impact of the coronavirus disease 2019 (COVID-19) pandemic has unknown effects on overall population mortality. Previous models of population mortality are based on death over days among infected people, nearly all of whom thus far have underlying conditions. Models have not incorporated information on high-risk conditions or their longer-term baseline (pre-COVID-19) mortality. We estimated the excess number of deaths over 1 year under different COVID-19 incidence scenarios based on varying levels of transmission suppression and differing mortality impacts based on different relative risks for the disease. METHODS:In this population-based cohort study, we used linked primary and secondary care electronic health records from England (Health Data Research UK-CALIBER). We report prevalence of underlying conditions defined by Public Health England guidelines (from March 16, 2020) in individuals aged 30 years or older registered with a practice between 1997 and 2017, using validated, openly available phenotypes for each condition. We estimated 1-year mortality in each condition, developing simple models (and a tool for calculation) of excess COVID-19-related deaths, assuming relative impact (as relative risks [RRs]) of the COVID-19 pandemic (compared with background mortality) of 1·5, 2·0, and 3·0 at differing infection rate scenarios, including full suppression (0·001%), partial suppression (1%), mitigation (10%), and do nothing (80%). We also developed an online, public, prototype risk calculator for excess death estimation. FINDINGS:We included 3 862 012 individuals (1 957 935 [50·7%] women and 1 904 077 [49·3%] men). We estimated that more than 20% of the study population are in the high-risk category, of whom 13·7% were older than 70 years and 6·3% were aged 70 years or younger with at least one underlying condition. 1-year mortality in the high-risk population was estimated to be 4·46% (95% CI 4·41-4·51). Age and underlying conditions combined to influence background risk, varying markedly across conditions. In a full suppression scenario in the UK population, we estimated that there would be two excess deaths (vs baseline deaths) with an RR of 1·5, four with an RR of 2·0, and seven with an RR of 3·0. In a mitigation scenario, we estimated 18 374 excess deaths with an RR of 1·5, 36 749 with an RR of 2·0, and 73 498 with an RR of 3·0. In a do nothing scenario, we estimated 146 996 excess deaths with an RR of 1·5, 293 991 with an RR of 2·0, and 587 982 with an RR of 3·0. INTERPRETATION:We provide policy makers, researchers, and the public a simple model and an online tool for understanding excess mortality over 1 year from the COVID-19 pandemic, based on age, sex, and underlying condition-specific estimates. These results signal the need for sustained stringent suppression measures as well as sustained efforts to target those at highest risk because of underlying conditions with a range of preventive interventions. Countries should assess the overall (direct and indirect) effects of the pandemic on excess mortality. FUNDING:National Institute for Health Research University College London Hospitals Biomedical Research Centre, Health Data Research UK."
32576605,https://doi.org/10.1136/jech-2020-214051,Efficacy of contact tracing for the containment of the 2019 novel coronavirus (COVID-19).,"Keeling MJ, Hollingsworth TD, Read JM.",,Journal of epidemiology and community health,2020,"OBJECTIVE:Contact tracing is a central public health response to infectious disease outbreaks, especially in the early stages of an outbreak when specific treatments are limited. Importation of novel coronavirus (COVID-19) from China and elsewhere into the UK highlights the need to understand the impact of contact tracing as a control measure. DESIGN:Detailed survey information on social encounters from over 5800 respondents is coupled to predictive models of contact tracing and control. This is used to investigate the likely efficacy of contact tracing and the distribution of secondary cases that may go untraced. RESULTS:Taking recent estimates for COVID-19 transmission we predict that under effective contact tracing less than 1 in 6 cases will generate any subsequent untraced infections, although this comes at a high logistical burden with an average of 36 individuals traced per case. Changes to the definition of a close contact can reduce this burden, but with increased risk of untraced cases; we find that tracing using a contact definition requiring more than 4 hours of contact is unlikely to control spread. CONCLUSIONS:The current contact tracing strategy within the UK is likely to identify a sufficient proportion of infected individuals such that subsequent spread could be prevented, although the ultimate success will depend on the rapid detection of cases and isolation of contacts. Given the burden of tracing a large number of contacts to find new cases, there is the potential the system could be overwhelmed if imports of infection occur at a rapid rate."
32371477,https://doi.org/10.1126/science.abc0473,Rapid implementation of mobile technology for real-time epidemiology of COVID-19.,"Drew DA, Nguyen LH, Steves CJ, Menni C, Freydin M, Varsavsky T, Sudre CH, Cardoso MJ, Ourselin S, Wolf J, Spector TD, Chan AT, COPE Consortium.",,"Science (New York, N.Y.)",2020,"The rapid pace of the coronavirus disease 2019 (COVID-19) pandemic caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) presents challenges to the robust collection of population-scale data to address this global health crisis. We established the COronavirus Pandemic Epidemiology (COPE) Consortium to unite scientists with expertise in big data research and epidemiology to develop the COVID Symptom Study, previously known as the COVID Symptom Tracker, mobile application. This application-which offers data on risk factors, predictive symptoms, clinical outcomes, and geographical hotspots-was launched in the United Kingdom on 24 March 2020 and the United States on 29 March 2020 and has garnered more than 2.8 million users as of 2 May 2020. Our initiative offers a proof of concept for the repurposing of existing approaches to enable rapidly scalable epidemiologic data collection and analysis, which is critical for a data-driven response to this public health challenge."
32119825,https://doi.org/10.1016/s2214-109x(20)30074-7,Feasibility of controlling COVID-19 outbreaks by isolation of cases and contacts.,"Hellewell J, Abbott S, Gimma A, Bosse NI, Jarvis CI, Russell TW, Munday JD, Kucharski AJ, Edmunds WJ, Centre for the Mathematical Modelling of Infectious Diseases COVID-19 Working Group, Funk S, Eggo RM.",,The Lancet. Global health,2020,"BACKGROUND:Isolation of cases and contact tracing is used to control outbreaks of infectious diseases, and has been used for coronavirus disease 2019 (COVID-19). Whether this strategy will achieve control depends on characteristics of both the pathogen and the response. Here we use a mathematical model to assess if isolation and contact tracing are able to control onwards transmission from imported cases of COVID-19. METHODS:We developed a stochastic transmission model, parameterised to the COVID-19 outbreak. We used the model to quantify the potential effectiveness of contact tracing and isolation of cases at controlling a severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2)-like pathogen. We considered scenarios that varied in the number of initial cases, the basic reproduction number (R0), the delay from symptom onset to isolation, the probability that contacts were traced, the proportion of transmission that occurred before symptom onset, and the proportion of subclinical infections. We assumed isolation prevented all further transmission in the model. Outbreaks were deemed controlled if transmission ended within 12 weeks or before 5000 cases in total. We measured the success of controlling outbreaks using isolation and contact tracing, and quantified the weekly maximum number of cases traced to measure feasibility of public health effort. FINDINGS:Simulated outbreaks starting with five initial cases, an R0 of 1·5, and 0% transmission before symptom onset could be controlled even with low contact tracing probability; however, the probability of controlling an outbreak decreased with the number of initial cases, when R0 was 2·5 or 3·5 and with more transmission before symptom onset. Across different initial numbers of cases, the majority of scenarios with an R0 of 1·5 were controllable with less than 50% of contacts successfully traced. To control the majority of outbreaks, for R0 of 2·5 more than 70% of contacts had to be traced, and for an R0 of 3·5 more than 90% of contacts had to be traced. The delay between symptom onset and isolation had the largest role in determining whether an outbreak was controllable when R0 was 1·5. For R0 values of 2·5 or 3·5, if there were 40 initial cases, contact tracing and isolation were only potentially feasible when less than 1% of transmission occurred before symptom onset. INTERPRETATION:In most scenarios, highly effective contact tracing and case isolation is enough to control a new outbreak of COVID-19 within 3 months. The probability of control decreases with long delays from symptom onset to isolation, fewer cases ascertained by contact tracing, and increasing transmission before symptoms. This model can be modified to reflect updated transmission characteristics and more specific definitions of outbreak control to assess the potential success of local response efforts. FUNDING:Wellcome Trust, Global Challenges Research Fund, and Health Data Research UK."
32220655,https://doi.org/10.1016/s2468-2667(20)30073-6,"The effect of control strategies to reduce social mixing on outcomes of the COVID-19 epidemic in Wuhan, China: a modelling study.","Prem K, Liu Y, Russell TW, Kucharski AJ, Eggo RM, Davies N, Centre for the Mathematical Modelling of Infectious Diseases COVID-19 Working Group, Jit M, Klepac P.",,The Lancet. Public health,2020,"BACKGROUND:In December, 2019, severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), a novel coronavirus, emerged in Wuhan, China. Since then, the city of Wuhan has taken unprecedented measures in response to the outbreak, including extended school and workplace closures. We aimed to estimate the effects of physical distancing measures on the progression of the COVID-19 epidemic, hoping to provide some insights for the rest of the world. METHODS:To examine how changes in population mixing have affected outbreak progression in Wuhan, we used synthetic location-specific contact patterns in Wuhan and adapted these in the presence of school closures, extended workplace closures, and a reduction in mixing in the general community. Using these matrices and the latest estimates of the epidemiological parameters of the Wuhan outbreak, we simulated the ongoing trajectory of an outbreak in Wuhan using an age-structured susceptible-exposed-infected-removed (SEIR) model for several physical distancing measures. We fitted the latest estimates of epidemic parameters from a transmission model to data on local and internationally exported cases from Wuhan in an age-structured epidemic framework and investigated the age distribution of cases. We also simulated lifting of the control measures by allowing people to return to work in a phased-in way and looked at the effects of returning to work at different stages of the underlying outbreak (at the beginning of March or April). FINDINGS:Our projections show that physical distancing measures were most effective if the staggered return to work was at the beginning of April; this reduced the median number of infections by more than 92% (IQR 66-97) and 24% (13-90) in mid-2020 and end-2020, respectively. There are benefits to sustaining these measures until April in terms of delaying and reducing the height of the peak, median epidemic size at end-2020, and affording health-care systems more time to expand and respond. However, the modelled effects of physical distancing measures vary by the duration of infectiousness and the role school children have in the epidemic. INTERPRETATION:Restrictions on activities in Wuhan, if maintained until April, would probably help to delay the epidemic peak. Our projections suggest that premature and sudden lifting of interventions could lead to an earlier secondary peak, which could be flattened by relaxing the interventions gradually. However, there are limitations to our analysis, including large uncertainties around estimates of R0 and the duration of infectiousness. FUNDING:Bill & Melinda Gates Foundation, National Institute for Health Research, Wellcome Trust, and Health Data Research UK."
PMC7292602,https://doi.org/10.1016/s2589-7500(20)30134-5,The effects of physical distancing on population mobility during the COVID-19 pandemic in the UK.,"Drake TM, Docherty AB, Weiser TG, Yule S, Sheikh A, Harrison EM.",,The Lancet. Digital Health,,
32502389,https://doi.org/10.1016/s2468-2667(20)30133-x,"Effects of non-pharmaceutical interventions on COVID-19 cases, deaths, and demand for hospital services in the UK: a modelling study.","Davies NG, Kucharski AJ, Eggo RM, Gimma A, Edmunds WJ, Centre for the Mathematical Modelling of Infectious Diseases COVID-19 working group.",,The Lancet. Public health,2020,"BACKGROUND:Non-pharmaceutical interventions have been implemented to reduce transmission of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) in the UK. Projecting the size of an unmitigated epidemic and the potential effect of different control measures has been crucial to support evidence-based policy making during the early stages of the epidemic. This study assesses the potential impact of different control measures for mitigating the burden of COVID-19 in the UK. METHODS:We used a stochastic age-structured transmission model to explore a range of intervention scenarios, tracking 66·4 million people aggregated to 186 county-level administrative units in England, Wales, Scotland, and Northern Ireland. The four base interventions modelled were school closures, physical distancing, shielding of people aged 70 years or older, and self-isolation of symptomatic cases. We also modelled the combination of these interventions, as well as a programme of intensive interventions with phased lockdown-type restrictions that substantially limited contacts outside of the home for repeated periods. We simulated different triggers for the introduction of interventions, and estimated the impact of varying adherence to interventions across counties. For each scenario, we projected estimated new cases over time, patients requiring inpatient and critical care (ie, admission to the intensive care units [ICU]) treatment, and deaths, and compared the effect of each intervention on the basic reproduction number, R0. FINDINGS:We projected a median unmitigated burden of 23 million (95% prediction interval 13-30) clinical cases and 350 000 deaths (170 000-480 000) due to COVID-19 in the UK by December, 2021. We found that the four base interventions were each likely to decrease R0, but not sufficiently to prevent ICU demand from exceeding health service capacity. The combined intervention was more effective at reducing R0, but only lockdown periods were sufficient to bring R0 near or below 1; the most stringent lockdown scenario resulted in a projected 120 000 cases (46 000-700 000) and 50 000 deaths (9300-160 000). Intensive interventions with lockdown periods would need to be in place for a large proportion of the coming year to prevent health-care demand exceeding availability. INTERPRETATION:The characteristics of SARS-CoV-2 mean that extreme measures are probably required to bring the epidemic under control and to prevent very large numbers of deaths and an excess of demand on hospital beds, especially those in ICUs. FUNDING:Medical Research Council."
