site,doi,date,link,title,authors,affiliations,abstract,author_similarity,affiliation_similarity
medrxiv,10.1101/2020.05.20.20108126,2020-05-24,http://medrxiv.org/cgi/content/short/2020.05.20.20108126,Susceptibility to and transmission of COVID-19 amongst children and adolescents compared with adults: a systematic review and meta-analysis,Russell M Viner; Oliver T Mytton; Chris Bonell; G.J. Melendez-Torres; Joseph L Ward; Lee Hudson; Claire Waddington; James Thomas; Simon Russell; Fiona van der Klis; Jasmina Panovska-Griffiths; Nicholas G Davies; Robert Booy; Rosalind Eggo,"UCL Great Ormond St. Institute of Child Health; University of Cambridge; London School of Hygiene and Tropical Medicine; College of Medicine and Health, University of Exeter, UK; UCL Great Ormond St. Institute of Child Health; UCL Great Ormond St. Institute of Child Health; Addenbrookes Hospital, Cambridge; UCL Institute of Education; UCL Great Ormond St. Institute of Child Health; National Institute for Public Health and the Environment (RIVM), Bilthoven, The Netherlands; UCL; London School of Hygiene and Tropical Medicine; University of Sydney; London School of Hygiene and Tropical Medicine","Background The degree to which children and young people are infected by and transmit the SARS-CoV-2 virus is unclear. Clinical series and testing cohorts based upon screening of symptomatic cases provide biased estimates of susceptibility in children. The role of children and young people in transmission of SARS-CoV-2 is dependent on susceptibility, symptoms, viral load, social contact patterns and behaviour. Methods We undertook a rapid systematic review of contact-tracing studies and population-screening studies to address the question What is the susceptibility to and transmission of SARS-CoV-2 by children and adolescents compared with adults? We searched PubMed and medRxiv on 16 May 2020 and identified 6327 studies, with additional studies identified through handsearching of cited references (2) and professional contacts (4). We assessed quality, summarized findings and undertook a random effects meta-analysis of contact-tracing studies. Results 18 studies met inclusion criteria; 9 contact-tracing, 8 population-screening and 1 systematic-review. Meta-analysis of contact tracing studies showed that the pooled odds ratio of being an infected contact in children compared with adults for all contact tracing studies was 0.44 (0.29, 0.69) with substantial heterogeneity (63%). Findings from a systematic review of household clusters of COVID-19 found 3/31 (10%) were due to a child index case and a population-based school contact tracing study found minimal transmission by child or teacher index cases. Findings from population-screening studies were heterogenous and not suitable for meta-analysis. Large studies from Iceland, the Netherlands and Spain and an Italian municipal study showed markedly lower SARS-CoV-2 prevalence amongst children and young people, however studies from Stockholm, England and municipalities in Switzerland and Germany showed showed no difference in infection prevalence between adults and children. Conclusions There is preliminary evidence that children and young people have lower susceptibility to SARS-CoV-2, with a 56% lower odds of being an infected contact. There is weak evidence that children and young people play a lesser role in transmission of SARS-CoV-2 at a population level. Our study provides no information on the infectivity of children.",100,100
medrxiv,10.1101/2020.05.22.20109892,2020-05-23,http://medrxiv.org/cgi/content/short/2020.05.22.20109892,"Occupation and risk of COVID-19: prospective cohort study of 120,621 UK Biobank participants",Miriam Mutambudzi; Claire L Niedzwiedz; Ewan B Macdonald; Alastair H Leyland; Frances S Mair; Jana J Anderson; Carlos A Celis-Morales; John Cleland; John Forbes; Jason MR Gill; Claire Hastie; Frederick K Ho; Bhautesh D Jani; Daniel F Mackay; Barbara I Nicholl; Naveed I Sattar; Paul I Welsh; Jill P Pell; Srinivasa Vittal Katikireddi; Evangelia Demou,"University of Glasgow; University of Glasgow; University of Glasgow; University of Glasgow; University of Glasgow; University of Glasgow; University of Glasgow; University of Glasgow; University of Glasgow; University of Glasgow; University of Glasgow; University of Glasgow; University of Glasgow; University of Glasgow; University of Glasgow; University of Glasgow; University Of Glasgow; University of Glasgow, Institute of Health and Wellbeing; University of Glasgow; University of Glasgow","Objectives: To investigate COVID-19 risk by occupational group. Design: Prospective study of linked population-based and administrative data. Setting: UK Biobank data linked to SARS-CoV-2 test results from Public Health England from 16 March to 3 May 2020. Participants: 120,621 UK Biobank participants who were employed or self-employed at baseline (2006-2010) and were 65 years or younger in March 2020. Overall, 29% (n=37,890) were employed in essential occupational groups, which included healthcare workers, social and education workers, and other essential workers comprising of police and protective service, food, and transport workers. Poisson regression models, adjusted for baseline sociodemographic, work-related, health, and lifestyle-related risk factors were used to assess risk ratios (RRs) of testing positive in hospital by occupational group as reported at baseline relative to non-essential workers. Main outcome measures: Positive SARS-CoV-2 test within a hospital setting (i.e. as an inpatient or in an Emergency Department). Results: 817 participants were tested for SARS-CoV-2 and of these, 206 (0.2%) individuals had a positive test in a hospital setting. Relative to non-essential workers, healthcare workers (RR 7.59, 95% CI: 5.43 to 10.62) and social and education workers (RR 2.17, 95% CI: 1.37 to 3.46) had a higher risk of testing positive for SARS-CoV-2 in hospital. Using more detailed groupings, medical support staff (RR 8.57, 95% CI: 4.35 to 16.87) and social care workers (RR 2.99, 95% CI: 1.71 to 5.24) had highest risk within the healthcare worker and social and education worker categories, respectively. In general, adjustment for covariates did not substantially change the pattern of occupational differences in risk. Conclusions: Essential workers in health and social care have a higher risk of severe SARS-CoV-2 infection. These findings underscore the need for national and organisational policies and practices that protect and support workers with elevated risk of SARS-CoV-2 infection.",100,100
medrxiv,10.1101/2020.05.20.20108183,2020-05-23,http://medrxiv.org/cgi/content/short/2020.05.20.20108183,A Rapid Review of the Asymptomatic Proportion of PCR-Confirmed SARS-CoV-2 Infections in Community Settings,Sarah Beale; Andrew Hayward; Laura Shallcross; Robert W Aldridge; Ellen Fragaszy,University College London; University College London; University College London; University College London; University College London,"Background: Up to 80% of active SARS-CoV-2 infections are proposed to be asymptomatic based on cross-sectional studies. However, accurate estimates of the asymptomatic proportion require systematic detection and follow-up to differentiate between truly asymptomatic and pre-symptomatic cases. We conducted a rapid review and meta-analysis of current evidence regarding the asymptomatic proportion of PCR-confirmed SARS-CoV-2 infections based on methodologically-appropriate studies in community settings. Methods: We searched Medline and EMBASE for peer-reviewed articles, and BioRxiv and MedRxiv for pre-prints published prior to 05/05/2020. We included studies based in community settings that involved systematic PCR testing on participants and follow-up symptom monitoring regardless of symptom status. We extracted data on study characteristics, frequencies of PCR-confirmed infections by symptom status, and (if available) cycle threshold values and/or duration of viral shedding by symptom status. We computed estimates of the asymptomatic proportion and 95% confidence intervals for each study and overall using random effect meta-analysis. Findings: We screened 270 studies and included 6. The pooled estimate for the asymptomatic proportion of SARS-CoV-2 infections was 11% (95% CI 4%-18%). Estimates of baseline viral load appeared to be similar for asymptomatic and symptomatic cases based on available data in three studies, though detailed reporting of cycle threshold values and natural history of viral shedding by symptom status was limited. Interpretation: The asymptomatic proportion of SARS-CoV-2 infections is relatively low when estimated from methodologically-appropriate studies. Further investigation into the degree and duration of infectiousness for asymptomatic infections is warranted. Funding: Medical Research Council",100,100
medrxiv,10.1101/2020.05.18.20086157,2020-05-22,http://medrxiv.org/cgi/content/short/2020.05.18.20086157,COVID-19 in Great Britain: epidemiological and clinical characteristics of the first few hundred (FF100) cases: a descriptive case series and case control analysis,Nicola L Boddington; Andre Charlett; Suzanne Elgohari; Jemma L Walker; Helen Mcdonald; Chloe Byers; Laura Coughlan; Tatiana Garcia Vilaplana; Rosie Whillock; Mary Sinnathamby; Nikolaos Panagiotopoulos; Louise Letley; Pauline MacDonald; Roberto Vivancos; Obaghe Edeghere; Joseph Shingleton; Emma Bennett; Daniel J Grint; Helen Strongman; Kathryn E Mansfield; Christopher Rentsch; Caroline Minassian; Ian J Douglas; Rohini Mathur; Maria Peppa; Simon Cottrell; Jim McMenamin; Maria Zambon; Mary Ramsay; Gavin Dabrera; Vanessa Saliba; Jamie Lopez Bernal,Public Health England; Public Health England; Public Health England; London School of Hygiene and Tropical Medicine; London School of Hygiene and Tropical Medicine; Public Health England; Public Health England; Public Health England; Public Health England; Public Health England; Public Health England; Public Health England; Public Health England; Public Health England; Public Health England; Public Health England; Public Health England; London School of Hygiene and Tropical Medicine; London School of Hygiene and Tropical Medicine; London School of Hygiene and Tropical Medicine; London School of Hygiene and Tropical Medicine; London School of Hygiene and Tropical Medicine; London School of Hygiene and Tropical Medicine; London School of Hygiene and Tropical Medicine; London School of Hygiene and Tropical Medicine; Public Health Wales; Public Health Scotland; Public Health England; Public Health England; Public Health England; Public Health England; Public Health England,"Objectives: Following detection of the first virologically-confirmed cases of COVID-19 in Great Britain, an enhanced surveillance study was initiated by Public Health England to describe the clinical presentation, course of disease and identify risk factors for infection of the first few hundred cases. Methods: Information was collected on the first COVID-19 cases according to the First Few X WHO protocol. Case-control analyses of the sensitivity, specificity and predictive value of symptoms and risk factors for infection were conducted. Point prevalences of underlying health conditions among the UK general population were presented. Findings: The majority of FF100 cases were imported (51.4%), of which the majority had recent travel to Italy (71.4%). 24.7% were secondary cases acquired mainly through household contact (40.4%). Children had lower odds of COVID-19 infection compared with the general population. The clinical presentation of cases was dominated by cough, fever and fatigue. Non-linear relationships with age were observed for fever, and sensitivity and specificity of symptoms varied by age. Conditions associated with higher odds of COVID-19 infection (after adjusting for age and sex) were chronic heart disease, immunosuppression and multimorbidity. Conclusion: This study presents the first epidemiological and clinical summary of COVID-19 cases in Great Britain. The FFX study design enabled systematic data collection. The study was able to characterize the risk factors for infection with population prevalence estimates setting these relative risks into a public health context. It also provides important evidence for generating case definitions to support public health risk assessment, clinical triage and diagnostic algorithms.",100,100
medrxiv,10.1101/2020.05.18.20105288,2020-05-21,http://medrxiv.org/cgi/content/short/2020.05.18.20105288,Current tobacco smoking and risk from COVID-19: results from a population symptom app in over 2.4 million people,Nicholas S Hopkinson; Niccolo Rossi; Julia El-Sayed Moustafa; Anthony A Laverty; Jennifer K Quint; Maxim B Freydin; Alessia Visconti; Benjamin Murray; Marc Modat; Sebastien Ourselin; Kerrin Small; Richard Davies; Jonathan Wolf; Timothy Spector; Claire J Steves; Mario Falchi,"Imperial College London; King's College London; King's College London; Imperial College London; Imperial College, London; King's College London; King's College, London; King's College, London; King's College, London; King's College, London; King's College, London; Zoe Global Ltd; Zoe Global Ltd; King's College London; King's College London; King's College, London","Background: The association between current tobacco smoking, the risk of developing COVID-19 and the severity of illness is an important information gap. Methods: UK users of the COVID Symptom Study app provided baseline data including demographics, anthropometrics, smoking status and medical conditions, were asked to log symptoms daily from 24th March 2020 to 23rd April 2020. Participants reporting that they did not feel physically normal were taken through a series of questions, including 14 potential COVID-19 symptoms and any hospital attendance. The main study outcome was the association between current smoking and the development of classic symptoms of COVID-19 during the pandemic defined as fever, new persistent cough and breathlessness. The number of concurrent COVID-19 symptoms was used as a proxy for severity. In addition, association of subcutaneous adipose tissue expression of ACE2, both the receptor for SARS-CoV-2 and a potential mediator of disease severity, with smoking status was assessed in a subset of 541 twins from the TwinsUK cohort. Results: Data were available on 2,401,982 participants, mean(SD) age 43.6(15.1) years, 63.3% female, overall smoking prevalence 11.0%. 834,437 (35%) participants reported being unwell and entered one or more symptoms. Current smokers were more likely to develop symptoms suggesting a diagnosis of COVID-19; classic symptoms adjusted OR[95%CI] 1.14[1.10 to 1.18]; >5 symptoms 1.29[1.26 to 1.31]; >10 symptoms 1.50[1.42 to 1.58]. Smoking was associated with reduced ACE2 expression in adipose tissue (Beta(SE)= -0.395(0.149); p=7.01x10-3). Interpretation: These data are consistent with smokers having an increased risk from COVID-19.",94,100
medrxiv,10.1101/2020.05.15.20102715,2020-05-20,http://medrxiv.org/cgi/content/short/2020.05.15.20102715,COVID-19 in England: spatial patterns and regional outbreaks,Claudio Fronterre; Jonathan M Read; Barry Rowlingson; Jessica Bridgen; Simon Alderton; Peter J Diggle; Chris P Jewell,Lancaster University; Lancaster University; Lancaster University; Lancaster University; Lancaster University; Lancaster University; Lancaster University,"Aims: to investigate the spatiotemporal distribution of COVID-19 cases in England; to provide spatial quantification of risk at a high resolution; to provide information for prospective antigen and serological testing. Approach: We fit a spatiotemporal Negative Binomial generalised linear model to Public Health England SARS-CoV-2 testing data at the Lower Tier Local Authority region level. We assume an order-1 autoregressive model for case progression within regions, coupling discrete spatial units via observed commuting data and time-varying measures of traffic flow. We fit the model via maximum likelihood estimation in order to calculate region-specific risk of ongoing transmission, as well as measuring regional uncertainty in incidence. Results: We detect marked heterogeneity across England in COVID-19 incidence, not only in raw estimated incidence, but in the characteristics of within-region and between-region dynamics of PHE testing data. There is evidence for a spatially diverse set of regions having a higher daily increase of cases than others, having accounted for current case numbers, population size, and human mobility. Uncertainty in model estimates is generally greater in rural regions. Conclusions: A wide range of spatial heterogeneity in COVID-19 epidemic distribution and infection rate exists in England currently. Future work should incorporate fine-scaled demographic and health covariates, with continued improvement in spatially-detailed case reporting data. The method described here may be used to measure heterogeneity in real-time as behavioural and social interventions are relaxed, serving to identify ""hotspots"" of resurgent cases occurring in diverse areas of the country, and triggering locally-intensive surveillance and interventions as needed. Caveats: There is general concern over the ability of PHE testing data to capture the true prevalence of infection within the population, though this approach is designed to provide measures of spatial prevalence based on testing that can be used to guide further future testing effort. Now-casts of epidemic characteristics are presented based on testing data alone (as opposed to ""true"" prevalence in any one area). The model used in this analysis is phenomenological for ease and speed of principled parameter inference; we choose the model which best fits the current spatial case timeseries, without attempting to enforce ""SIR""-type epidemic dynamics.",100,100
medrxiv,10.1101/2020.05.14.20101824,2020-05-19,http://medrxiv.org/cgi/content/short/2020.05.14.20101824,Changing travel patterns in China during the early stages of the COVID-19 pandemic,Hamish Gibbs; Yang Liu; Carl AB Pearson; Christopher I Jarvis; Chris Grundy; Billy J Quilty; Charlie Diamond; Rosalind M Eggo,London School of Hygiene and Tropical Medicine; London School of Hygiene and Tropical Medicine; London School of Hygiene and Tropical Medicine; London School of Hygiene and Tropical Medicine; London School of Hygiene and Tropical Medicine; London School of Hygiene and Tropical Medicine; London School of Hygiene and Tropical Medicine; London School of Hygiene and Tropical Medicine,"Understanding changes in human mobility in the early stages of the COVID-19 pandemic is crucial for assessing the impacts of travel restrictions designed to reduce disease spread. Here, relying on data from mainland China, we investigated the spatio-temporal characteristics of human mobility between 1st January and 1st March 2020 and discussed their public health implications. An outbound travel surge from Wuhan before travel restrictions were implemented was also observed across China due to the Lunar New Year, indicating that holiday travel may have played a larger role in mobility changes compared to impending travel restrictions. Holiday travel also shifted healthcare pressure related to COVID-19 towards locations with lower access to care. Network analyses showed no sign of major changes in the transportation network after Lunar New Year. Changes observed were temporary and have not yet led to structural reorganisation of the transportation network at the time of this study.",100,100
medrxiv,10.1101/2020.05.13.20100495,2020-05-19,http://medrxiv.org/cgi/content/short/2020.05.13.20100495,Risk factors for adverse clinical outcomes in patients with COVID-19: A systematic review and meta-analysis,Vanesa Bellou; Ioanna Tzoulaki; Evangelos Evangelou; Lazaros Belbasis,University of Ioannina Medical School; University of Ioannina Medical School; University of Ioannina Medical School; University of Ioannina Medical School,"Importance: COVID-19 is a clinically heterogeneous disease of varying severity and prognosis. Clinical characteristics that impact disease course could offer guidance for clinical decision making and future research endeavors and unveil disease pathways. Objective: To examine risk factors associated with adverse clinical outcomes in patients with COVID-19. Data sources: We performed a systematic review in PubMed from January 1 until April 19, 2020. Study selection: Observational studies that examined the association of any clinical characteristic with an adverse clinical outcome were considered eligible. We scrutinized studies for potential overlap. Data extraction and synthesis: Information on the effect of clinical factors on clinical endpoints of patients with COVID-19 was independently extracted by two researchers. When an effect size was not reported, crude odds ratios were calculated based on the available information from the eligible articles. Study-specific effect sizes from non-overlapping studies were synthesized applying the random-effects model. Main outcome and measure: The examined outcomes were severity and progression of disease, admission to ICU, need for mechanical ventilation, mortality, or a composite outcome. Results: We identified 88 eligible articles, and we performed a total of 256 meta-analyses on the association of 98 unique risk factors with five clinical outcomes. Seven meta-analyses presented the strongest epidemiological evidence in terms of statistical significance (P-value <0.005), between-study heterogeneity (I2 <50%), sample size (more than 1000 COVID-19 patients), 95% prediction interval excluded the null value, and absence of small-study effects. Elevated C-reactive protein (OR, 6.46; 95% CI, 4.85 - 8.60), decreased lymphocyte count (OR, 4.16; 95% CI, 3.17 - 5.45), cerebrovascular disease (OR, 2.84; 95% CI, 1.55 - 5.20), chronic obstructive pulmonary disease (OR, 4.44; 95% CI, 2.46 - 8.02), diabetes mellitus (OR, 2.04; 95% CI, 1.54 - 2.70), hemoptysis (OR, 7.03; 95% CI, 4.57 - 10.81), and male sex (OR, 1.51; 95% CI, 1.30 - 1.75) were associated with risk of severe COVID-19. Conclusions and relevance: Our results highlight factors that could be useful for prognostic model building, help guide patients' selection for randomized clinical trials, as well as provide alternative treatment targets by shedding light to disease pathophysiology.",100,100
medrxiv,10.1101/2020.05.11.20098269,2020-05-18,http://medrxiv.org/cgi/content/short/2020.05.11.20098269,Accessibility and allocation of public parks and gardens during COVID-19 social distancing in England and Wales,Niloofar Shoari; Majid Ezzati; Jill Baumgartner; Diego Malacarne; Daniela Fecht,Imperial College London; Imperial College London; McGill University; Imperial College London; Imperial College London,"Visiting parks and gardens may attenuate the adverse physical and mental health impacts of social distancing implemented to reduce the spread of COVID-19. We quantified access to public parks and gardens in urban areas of England and Wales, and the potential for park crowdedness during periods of high use. We combined data from the Office for National Statistics and Ordnance Survey to quantified (i) the number of parks within 500 and 1,000 metres of urban postcodes (i.e., availability), (ii) the distance of postcodes to the nearest park (i.e., accessibility), and (iii) per-capita space in each park for people living within 1,000m. We examined variability by city and share of flats. Around 25.4 million people can access public parks or gardens within a ten-minute walk, while 3.8 million residents live farther away; of these 21% are children and 13% are elderly. Areas with a higher share of flats on average are closer to a park but people living in these areas are potentially less able to meet social distancing requirements while in parks during periods of high use. Cities in England and Wales can provide residents with access to green space that enables outdoor exercise and play during social distancing. Keeping public parks and gardens open, might require measures such as dedicated park times for different age groups or entry allocation systems that, combined with smartphone apps or drones, can monitor and manage the total number of people using the park.",100,100
medrxiv,10.1101/2020.05.12.20098921,2020-05-18,http://medrxiv.org/cgi/content/short/2020.05.12.20098921,Behavioural change towards reduced intensity physical activity is disproportionately prevalent among adults with serious health issues or self-perception of high risk during the UK COVID-19 lockdown.,Nina Trivedy Rogers; Naomi Waterlow; Hannah E Brindle; Luisa Enria; Rosalind M Eggo; Shelley Lees; Chrissy h Roberts,University College London (UCL); London School of Hygiene & Tropical Medicine; London School of Hygiene & Tropical Medicine; University of Bath; London School of Hygiene & Tropical Medicine; London School of Hygiene & Tropical Medicine; London School of Hygiene & Tropical Medicine,"Importance: There are growing concerns that the UK COVID-19 lockdown has reduced opportunities to maintain health through physical activity, placing individuals at higher risk of chronic disease and leaving them more vulnerable to severe sequelae of COVID-19. Objective: To examine whether the UK's lockdown measures have had disproportionate impacts on intensity of physical activity in groups who are, or who perceive themselves to be, at heightened risk from COVID-19. Designs, Setting, Participants: UK-wide survey of adults aged over 20, data collected between 2020-04-06 and 2020-04-22. Exposures: Self-reported doctor-diagnosed obesity, hypertension, type I/II diabetes, lung disease, cancer, stroke, heart disease. Self-reported disabilities and depression. Sex, gender, educational qualifications, household income, caring for school-age children. Narrative data on coping strategies. Main Outcomes and Measures: Change in physical activity intensity after implementation of UK COVID-19 lockdown (self-reported). Results: Most (60%) participants achieved the same level of intensity of physical activity during the lockdown as before the epidemic. Doing less intensive physical activity during the lockdown was associated with obesity (OR 1.21, 95% CI 1.02-1.41), hypertension (OR 1.52, 1.33-1.71), lung disease (OR 1.31,1.13-1.49), depression (OR 2.02, 1.82-2.22) and disability (OR 2.34, 1.99-2.69). Participants who reduced their physical activity intensity also had higher odds of being female, living alone or having no garden, and more commonly expressed sentiments about personal or household risks in narratives on coping. Conclusions and relevance: Groups who reduced physical activity intensity included disproportionate numbers of people with either heightened objective clinical risks or greater tendency to express subjective perceptions of risk. Policy on exercise for health during lockdowns should include strategies to facilitate health promoting levels of physical activity in vulnerable groups, including those with both objective and subjective risks.",100,100
