id,doi,title,authorString,authorAffiliations,journalTitle,pubYear,isOpenAccess,keywords,nationalPriorities,healthCategories,abstract,laySummary,urls
PPR186543,https://doi.org/10.1101/2020.07.10.20150656,Diagnostic value of skin manifestation of SARS-CoV-2 infection,"Bataille V, Visconti A, Rossi N, Murray B, Bournot A, Wolf J, Ourselin S, Steves C, Spector T, Falchi M.",,No Journal Info,2020,Y,,,,"SARS-CoV-2 causes multiple immune-related reactions at various stages of the disease. The wide variety of skin presentations has delayed linking these to the virus. Previous studies had attempted to look at the prevalence and timing of SARS-COV-2 rashes but were based on mostly hospitalized severe cases and had little follow up. Using data collected on a subset of 336,847 eligible UK users of the COVID Symptom Study app, we observed that 8.8% of the swab positive cases (total: 2,021 subjects) reported either a body rash or an acral rash, compared to 5.4% of those with a negative swab test (total: 25,136). Together, these two skin presentations showed an odds ratio (OR) of 1.67 (95% confidence interval [CI]: 1.41-1.96) for being swab positive. Skin rashes were also predictive in the larger untested group of symptomatic app users (N=54,652), as 8.2% of those who had reported at least one classical COVID-19 symptom, i.e., fever, persistent cough, and/or anosmia, also reported a rash. Data from an independent online survey of 11,546 respondents with a rash showed that in 17% of swab positive cases, the rash was the initial presentation. Furthermore, in 21%, the rash was the only clinical sign. Skin rashes cluster with other COVID-19 symptoms, are predictive of a positive swab test and occur in a significant number of cases, either alone or before other classical symptoms. Recognising rashes is important in identifying new and earlier COVID-19 cases.",,doi:https://doi.org/10.1101/2020.07.10.20150656; html:https://europepmc.org/article/PPR/PPR186543; pdf:https://europepmc.org/api/fulltextRepo?pprId=PPR186543&type=FILE&fileName=EMS87210-pdf.pdf&mimeType=application/pdf
PPR187496,https://doi.org/10.1101/2020.07.15.20151852,"Effect of Hydroxychloroquine in Hospitalized Patients with COVID-19: Preliminary results from a multi-centre, randomized, controlled trial.","Horby P, Mafham M, Linsell L, Bell JL, Staplin N, Emberson JR, Wiselka M, Ustianowski A, Elmahi E, Prudon B, Whitehouse A, Felton T, Williams J, Faccenda J, Underwood J, Baillie JK, Chappell L, Faust SN, Jaki T, Jeffery K, Lim WS, Montgomery A, Rowan K, Tarning J, Watson JA, White NJ, Juszczak E, Haynes R, Landray MJ.",,No Journal Info,2020,Y,,,,"Background: Hydroxychloroquine and chloroquine have been proposed as treatments for coronavirus disease 2019 (COVID-19) on the basis of in vitro activity, uncontrolled data, and small randomized studies. Methods: The Randomised Evaluation of COVID-19 therapy (RECOVERY) trial is a randomized, controlled, open-label, platform trial comparing a range of possible treatments with usual care in patients hospitalized with COVID-19. We report the preliminary results for the comparison of hydroxychloroquine vs. usual care alone. The primary outcome was 28-day mortality. Results: 1561 patients randomly allocated to receive hydroxychloroquine were compared with 3155 patients concurrently allocated to usual care. Overall, 418 (26.8%) patients allocated hydroxychloroquine and 788 (25.0%) patients allocated usual care died within 28 days (rate ratio 1.09; 95% confidence interval [CI] 0.96 to 1.23; P=0.18). Consistent results were seen in all pre-specified subgroups of patients. Patients allocated to hydroxychloroquine were less likely to be discharged from hospital alive within 28 days (60.3% vs. 62.8%; rate ratio 0.92; 95% CI 0.85-0.99) and those not on invasive mechanical ventilation at baseline were more likely to reach the composite endpoint of invasive mechanical ventilation or death (29.8% vs. 26.5%; risk ratio 1.12; 95% CI 1.01-1.25). There was no excess of new major cardiac arrhythmia. Conclusions: In patients hospitalized with COVID-19, hydroxychloroquine was not associated with reductions in 28-day mortality but was associated with an increased length of hospital stay and increased risk of progressing to invasive mechanical ventilation or death.",,doi:https://doi.org/10.1101/2020.07.15.20151852; html:https://europepmc.org/article/PPR/PPR187496; pdf:https://europepmc.org/api/fulltextRepo?pprId=PPR187496&type=FILE&fileName=EMS87168-pdf.pdf&mimeType=application/pdf
PPR186981,https://doi.org/10.1101/2020.07.12.20152298,The effect of international travel restrictions on internal spread of COVID-19,"Russell TW, Wu J, Clifford S, Edmunds J, Kucharski AJ, Jit M.",,No Journal Info,2020,Y,,,,"Background: Countries have restricted international arrivals to delay the spread of COVID-19. These measures carry a high economic and social cost. They may have little impact on COVID-19 epidemics if there are many more cases resulting from local transmission compared to imported cases.  Methods: To inform decisions about international travel restrictions, we compared the ratio of expected COVID-19 cases from international travel (assuming no travel restrictions) to the expected COVID-19 cases arising from internal spread on an average day in May 2020 in each country. COVID-19 prevalence and incidence were estimated using a modelling framework that adjusts reported cases for under-ascertainment and asymptomatic infections. Findings: With May 2019 travel volumes, imported cases account for <10% of total incidence in 103 (95% credible interval: 76 - 130) out of 142 countries, and <1% in 48 (95% CrI: 9 - 95). If we assume that travel would decrease compared to May 2019 even in the absence of formal restrictions, then imported cases account for <10% of total incidence in 109-123 countries and <1% in 61-88 countries (depending on the assumptions about travel reductions).  Interpretation: While countries can expect infected travellers to arrive in the absence of travel restrictions, in most countries these imported cases likely contribute little to local COVID-19 epidemics. Stringent travel restrictions may have limited impact on epidemic dynamics except in countries with low COVID-19 incidence and large numbers of arrivals from other countries.",,doi:https://doi.org/10.1101/2020.07.12.20152298; html:https://europepmc.org/article/PPR/PPR186981; pdf:https://europepmc.org/api/fulltextRepo?pprId=PPR186981&type=FILE&fileName=EMS87133-pdf.pdf&mimeType=application/pdf
PPR179126,https://doi.org/10.1101/2020.06.22.20137216,"Proteomic blood profiling in mild, severe and critical COVID-19 patients","Patel H, Ashton NJ, Dobson RJ, Anderson L, Yilmaz A, Blennow K, Gisslen M, Zetterberg H.",,No Journal Info,2020,N,,,,"The recent SARS-CoV-2 pandemic manifests itself as a mild respiratory tract infection in the majority of individuals leading to COVID-19 disease. However, in some infected individuals, this can progress to severe pneumonia and acute respiratory distress syndrome (ARDS), leading to multi-organ failure and death. The purpose of this study is to explore the proteomic differences between mild, severe and critical COVID-19 positive patients. Blood protein profiling was performed on 59 COVID-19 mild (n=26), severe (n=9) or critical (n=24) cases and 28 controls using the OLINK inflammation, autoimmune, cardiovascular and neurology panels. Differential expression analysis was performed within and between disease groups to generate nine different analyses. From the 368 proteins measured per individual, more than 75% were observed to be significantly perturbed in COVID-19 cases. Six proteins (IL6, CKAP4, Gal-9, IL-1ra, LILRB4 and PD-L1) were identified to be associated with disease severity. The results have been made readily available through an interactive web-based application for instant data exploration and visualization, and can be accessed at https://phidatalab-shiny.rosalind.kcl.ac.uk/COVID19/. Our results demonstrate that dynamic changes in blood proteins that associate with disease severity can potentially be used as early biomarkers to monitor disease severity in COVID-19 and serve as potential therapeutic targets.",,doi:https://doi.org/10.1101/2020.06.22.20137216; html:https://europepmc.org/article/PPR/PPR179126; pdf:https://europepmc.org/api/fulltextRepo?pprId=PPR179126&type=FILE&fileName=EMS88241-pdf.pdf&mimeType=application/pdf; doi:https://doi.org/10.1101/2020.06.22.20137216
PPR191930,https://doi.org/10.1101/2020.07.24.20161281,Strategies to reduce the risk of SARS-CoV-2 re-introduction from international travellers,"Clifford S, Quilty BJ, Russell TW, Liu Y, Chan YD, Pearson CAB, Eggo RM, Endo A, Flasche S, Edmunds WJ, CMMID COVID-19 Working Group.",,No Journal Info,2020,Y,,,,"To mitigate SARS-CoV-2 transmission risks from international travellers, many countries currently use a combination of up to 14 days of self-quarantine on arrival and testing for active infection. We used a simulation model of air travellers arriving to the UK from the EU or the USA and the timing of their stages of infection to evaluate the ability of these strategies to reduce the risk of seeding community transmission. We find that a quarantine period of 8 days on arrival with a PCR test on day 7 (with a 1-day delay for test results) can reduce the number of infectious arrivals released into the community by a median 94% compared to a no quarantine, no test scenario. This reduction is similar to that achieved by a 14-day quarantine period (median 99% reduction). Shorter quarantine periods still can prevent a substantial amount of transmission; all strategies in which travellers spend at least 5 days (the mean incubation period) in quarantine and have at least one negative test before release are highly effective (e.g. a test on day 5 with release on day 6 results in a median 88% reduction in transmission potential). Without intervention, the current high prevalence in the US (40 per 10,000) results in a higher expected number of infectious arrivals per week (up to 23) compared to the EU (up to 12), despite an estimated 8 times lower volume of travel in July 2020.  Requiring a 14-day quarantine period likely results in less than 1 infectious traveller each entering the UK per week from the EU and the USA (97.5th percentile). We also find that on arrival the transmission risk is highest from pre-symptomatic travellers; quarantine policies will shift this risk increasingly towards asymptomatic infections if eventually-symptomatic individuals self-isolate after the onset of symptoms. As passenger numbers recover, strategies to reduce the risk of re-introduction should be evaluated in the context of domestic SARS-CoV-2 incidence, preparedness to manage new outbreaks, and the economic and psychological impacts of quarantine.",,doi:https://doi.org/10.1101/2020.07.24.20161281; html:https://europepmc.org/article/PPR/PPR191930; pdf:https://europepmc.org/api/fulltextRepo?pprId=PPR191930&type=FILE&fileName=EMS87861-pdf.pdf&mimeType=application/pdf
PPR178487,https://doi.org/10.1101/2020.06.19.20135491,"Inhaled corticosteroid use and risk COVID-19 related death among 966,461 patients with COPD or asthma: an OpenSAFELY analysis","The OpenSAFELY Collaborative, Schultze A, Walker AJ, MacKenna B, Morton CE, Bhaskaran K, Brown JP, Rentsch CT, Williamson EJ, Drysdale H, Croker R, Bacon S, Hulme WJ, Bates C, Curtis HJ, Mehrkar A, Evans D, Inglesby P, Cockburn J, McDonald HI, Tomlinson L, Mathur R, Wing K, Wong AY, Forbes H, Parry J, Hester F, Harper S, Evans SJ, Quint J, Smeeth L, Douglas IJ, Goldacre B.",,No Journal Info,2020,Y,,,,"Background: Early descriptions of the coronavirus outbreak showed a lower prevalence of asthma and COPD than was expected for people diagnosed with COVID-19, leading to speculation that inhaled corticosteroids (ICS) may protect against infection with SARS-CoV-2, and development of serious sequelae. We evaluated the association between ICS and COVID-19 related death using linked electronic health records in the UK. Methods: We conducted cohort studies on two groups of people (COPD and asthma) using the OpenSAFELY platform to analyse data from primary care practices linked to national death registrations. People receiving an ICS were compared to those receiving alternative respiratory medications. Our primary outcome was COVID-19 related death. Findings: We identified 148,588 people with COPD and 817,973 people with asthma receiving relevant respiratory medications in the four months prior to 01 March 2020. People with COPD receiving ICS were at a greater risk of COVID-19 related death compared to those receiving a long-acting beta agonist (LABA) and a long-acting muscarinic antagonist (LAMA) (adjusted HR = 1.38, 95% CI = 1.08 - 1.75). People with asthma receiving high dose ICS were at an increased risk of death compared to those receiving a short-acting beta agonist (SABA) only (adjusted HR = 1.52, 95%CI = 1.08 - 2.14); the adjusted HR for those receiving low-medium dose ICS was 1.10 (95% CI = 0.82 - 1.49). Quantitative bias analyses indicated that an unmeasured confounder of only moderate strength of association with exposure and outcome could explain the observed associations in both populations. Interpretation: These results do not support a major role of ICS in protecting against COVID-19 related deaths. Observed increased risks of COVID-19 related death among people with COPD and asthma receiving ICS can be plausibly explained by unmeasured confounding due to disease severity.",,doi:https://doi.org/10.1101/2020.06.19.20135491; html:https://europepmc.org/article/PPR/PPR178487; pdf:https://europepmc.org/api/fulltextRepo?pprId=PPR178487&type=FILE&fileName=EMS88284-pdf.pdf&mimeType=application/pdf
PPR160805,https://doi.org/10.1101/2020.05.07.20093849,The contribution of asymptomatic SARS-CoV-2 infections to transmission - a model-based analysis of the Diamond Princess outbreak,"Emery JC, Russel TW, Liu Y, Hellewell J, Pearson CA, Knight GM, Eggo RM, Kucharski AJ, Funk S, Flasche S, Houben RMGJ, CMMID 2019-nCoV working group.",,No Journal Info,2020,Y,Transmission; Asymptomatic Infections; Covid-19; Sars-cov-2,,,"Background: Some key gaps in the understanding of SARS-CoV-2 infection remain. One of them is the contribution to transmission from individuals experiencing asymptomatic infections. We aimed to characterise the proportion and infectiousness of asymptomatic infections using data from the outbreak on the Diamond Princess cruise ship.  Methods: We used a transmission model of COVID-19 with asymptomatic and presymptomatic states calibrated to outbreak data from the Diamond Princess, to quantify the contribution of asymptomatic infections to transmission. Data available included the date of symptom onset for symptomatic disease for passengers and crew, the number of symptom agnostic tests done each day, and date of positive test for asymptomatic and presymptomatic individuals. Findings: On the Diamond Princess 74% (70-78%) of infections proceeded asymptomatically, i.e. a 1:3.8 case-to-infection ratio. Despite the intense testing 53%, (51-56%) of infections remained undetected, most of them asymptomatic. Asymptomatic individuals were the source for 69% (20-85%) of all infections. While the data did not allow identification of the infectiousness of asymptomatic infections, assuming no or low infectiousness resulted in posterior estimates for the net reproduction number of an individual progressing through presymptomatic and symptomatic stages in excess of 15. Interpretation: Asymptomatic SARS-CoV-2 infections may contribute substantially to transmission. This is essential to consider for countries when assessing the potential effectiveness of ongoing control measures to contain COVID-19.",The work investigates the cases of COVID-19 recorded on the diamond princess cruise ship. The work identifies that many cases were asymptomatic and are likely to contribute to transmission.,doi:https://doi.org/10.1101/2020.05.07.20093849; html:https://europepmc.org/article/PPR/PPR160805; pdf:https://europepmc.org/api/fulltextRepo?pprId=PPR160805&type=FILE&fileName=EMS86859-pdf.pdf&mimeType=application/pdf
PPR180964,https://doi.org/10.1101/2020.06.26.20140921,Short Communication: Vitamin D and COVID-19 infection and mortality in UK Biobank,"Hastie CE, Pell JP, Sattar N.",,No Journal Info,2020,N,,,,"Purpose Vitamin D has been proposed as a potential causal factor in COVID-19 risk. We aimed to establish whether blood 25-hydroxyvitamin D (25(OH)D) concentration was associated with COVID-19 mortality, and inpatient confirmed COVID-19 infection, in UK Biobank participants.  Methods UK Biobank recruited 502,624 participants aged 37-73 years between 2006 and 2010. Baseline exposure data, including 25(OH)D concentration, were linked to COVID-19 mortality. Univariable and multivariable Cox proportional hazards regression analyses were performed for the association between 25(OH)D and COVID-19 death, and poisson regression analyses for the association between 25(OH)D and severe COVID-19 infection.  Results Complete data were available for 341,484 UK Biobank participants, of which 656 had inpatient confirmed COVID-19 infection and 203 died of COVID-19 infection. Vitamin D was associated with severe COVID-19 infection and mortality univariably (mortality HR=0.99; 95% CI 0.98-0.998; p=0.016), but not after adjustment for confounders (mortality HR=0.998; 95% CI=0.99-1.01; p=0.696). Conclusions Our findings do not support a potential link between vitamin D concentrations and risk of severe COVID-19 infection and mortality. Recommendations for vitamin D supplementation to lessen COVID-19 risks may provide false reassurance.",,doi:https://doi.org/10.1101/2020.06.26.20140921; html:https://europepmc.org/article/PPR/PPR180964; pdf:https://europepmc.org/api/fulltextRepo?pprId=PPR180964&type=FILE&fileName=EMS87883-pdf.pdf&mimeType=application/pdf; doi:https://doi.org/10.1101/2020.06.26.20140921
PPR176688,https://doi.org/10.1101/2020.06.15.20130328,Can we trust the prediction model? Demonstrating the importance of external validation by investigating the COVID-19 Vulnerability (C-19) Index across an international network of observational healthcare datasets,"Reps JM, Kim C, Williams RD, Markus AF, Yang C, Salles TD, Falconer T, Jonnagaddala J, Williams A, Fernandez-Bertolin S, DuVall SL, Kostka K, Rao G, Shoaibi A, Ostropolets A, Spotnitz ME, Zhang L, Casajust P, Steyerberg E, Nyberg F, Kaas-Hansen BS, Choi YH, Morales D, Liaw S, Abrahao MTF, Areia C, Matheny ME, Aragon M, Park RW, Hripcsak G, Reich CG, Suchard MA, You SC, Ryan PB, Prieto-Alhambra D, Rijnbeek PR.",,No Journal Info,2020,Y,,,,"Background: SARS-CoV-2 is straining healthcare systems globally. The burden on hospitals during the pandemic could be reduced by implementing prediction models that can discriminate between patients requiring hospitalization and those who do not. The COVID-19 vulnerability (C-19) index, a model that predicts which patients will be admitted to hospital for treatment of pneumonia or pneumonia proxies, has been developed and proposed as a valuable tool for decision making during the pandemic. However, the model is at high risk of bias according to the Prediction model Risk Of Bias ASsessment Tool and has not been externally validated.  Methods: We followed the OHDSI framework for external validation to assess the reliability of the C-19 model. We evaluated the model on two different target populations: i) 41,381 patients that have SARS-CoV-2 at an outpatient or emergency room visit and ii) 9,429,285 patients that have influenza or related symptoms during an outpatient or emergency room visit, to predict their risk of hospitalization with pneumonia during the following 0 to 30 days. In total we validated the model across a network of 14 databases spanning the US, Europe, Australia and Asia. Findings: The internal validation performance of the C-19 index was a c-statistic of 0.73 and calibration was not reported by the authors. When we externally validated it by transporting it to SARS-CoV-2 data the model obtained c-statistics of 0.36, 0.53 (0.473-0.584) and 0.56 (0.488-0.636) on Spanish, US and South Korean datasets respectively. The calibration was poor with the model under-estimating risk. When validated on 12 datasets containing influenza patients across the OHDSI network the c-statistics ranged between 0.40-0.68. Interpretation: The results show that the discriminative performance of the C-19 model is low for influenza cohorts, and even worse amongst COVID-19 patients in the US, Spain and South Korea. These results suggest that C-19 should not be used to aid decision making during the COVID-19 pandemic. Our findings highlight the importance of performing external validation across a range of settings, especially when a prediction model is being extrapolated to a different population. In the field of prediction, extensive validation is required to create appropriate trust in a model.",,doi:https://doi.org/10.1101/2020.06.15.20130328; html:https://europepmc.org/article/PPR/PPR176688; pdf:https://europepmc.org/api/fulltextRepo?pprId=PPR176688&type=FILE&fileName=EMS88261-pdf.pdf&mimeType=application/pdf
PPR179288,https://doi.org/10.1101/2020.06.22.20137273,Effect of Dexamethasone in Hospitalized Patients with COVID-19: Preliminary Report,"Horby P, Lim WS, Emberson J, Mafham M, Bell J, Linsell L, Staplin N, Brightling C, Ustianowski A, Elmahi E, Prudon B, Green C, Felton T, Chadwick D, Rege K, Fegan C, Chappell LC, Faust SN, Jaki T, Jeffery K, Montgomery A, Rowan K, Juszczak E, Baillie JK, Haynes R, Landray MJ, RECOVERY Collaborative Group.",,No Journal Info,2020,Y,,,,"Background: Coronavirus disease 2019 (COVID-19) is associated with diffuse lung damage. Corticosteroids may modulate immune-mediated lung injury and reducing progression to respiratory failure and death. Methods: The Randomised Evaluation of COVID-19 therapy (RECOVERY) trial is a randomized, controlled, open-label, adaptive, platform trial comparing a range of possible treatments with usual care in patients hospitalized with COVID-19. We report the preliminary results for the comparison of dexamethasone 6 mg given once daily for up to ten days vs. usual care alone. The primary outcome was 28-day mortality. Results: 2104 patients randomly allocated to receive dexamethasone were compared with 4321 patients concurrently allocated to usual care. Overall, 454 (21.6%) patients allocated dexamethasone and 1065 (24.6%) patients allocated usual care died within 28 days (age-adjusted rate ratio [RR] 0.83; 95% confidence interval [CI] 0.74 to 0.92; P<0.001). The proportional and absolute mortality rate reductions varied significantly depending on level of respiratory support at randomization (test for trend p<0.001): Dexamethasone reduced deaths by one-third in patients receiving invasive mechanical ventilation (29.0% vs. 40.7%, RR 0.65 [95% CI 0.51 to 0.82]; p<0.001), by one-fifth in patients receiving oxygen without invasive mechanical ventilation (21.5% vs. 25.0%, RR 0.80 [95% CI 0.70 to 0.92]; p=0.002), but did not reduce mortality in patients not receiving respiratory support at randomization (17.0% vs. 13.2%, RR 1.22 [95% CI 0.93 to 1.61]; p=0.14). Conclusions: In patients hospitalized with COVID-19, dexamethasone reduced 28-day mortality among those receiving invasive mechanical ventilation or oxygen at randomization, but not among patients not receiving respiratory support.",,doi:https://doi.org/10.1101/2020.06.22.20137273; html:https://europepmc.org/article/PPR/PPR179288; pdf:https://europepmc.org/api/fulltextRepo?pprId=PPR179288&type=FILE&fileName=EMS88343-pdf.pdf&mimeType=application/pdf
