status,title,national priority,health category
Published,"Area deprivation, urbanicity, severe mental illness and social drift – A population-based linkage study using routinely collected primary and secondary care data",Improving Public Health,mental health
Published,"Health sector spending and spending on HIV/AIDS, tuberculosis, and malaria, and development assistance for health: progress towards Sustainable Development Goal 3",Better Care,infection
Published,Low-Density Lipoprotein Cholesterol Target Attainment in Patients With Established Cardiovascular Disease: Analysis of Routine Care Data,Better Care,cardiovascular
Published,"Estimating the infection and case fatality ratio for coronavirus disease (COVID-19) using age-adjusted data from the outbreak on the Diamond Princess cruise ship, February 2020","COVID-19, Improving Public Health","COVID-19, infection"
Published,Characterising a healthy adult with a rare HAO1 knockout to support a therapeutic strategy for primary hyperoxaluria,Understanding the Causes of Disease,metabolic and endocrine
Published,"Machine learning and artificial intelligence research for patient benefit: 20 critical questions on transparency, replicability, ethics, and effectiveness.",Applied Analytics,disease-agnostic
Published,Genome-wide and Mendelian randomisation studies of liver MRI yield insights into the pathogenesis of steatohepatitis,Understanding the Causes of Disease,oral and gastrointestinal
Published,The influence of rare variants in circulating metabolic biomarkers,Understanding the Causes of Disease,cardiovascular
Published,"Dysregulated Antibody, Natural Killer Cell and Immune Mediator Profiles in Autoimmune Thyroid Diseases.",Understanding the Causes of Disease,inflammatory and immune system
Published,Accurate targeted long-read DNA methylation and hydroxymethylation sequencing with TAPS,Understanding the Causes of Disease,infection
Published,Feasibility of controlling COVID-19 outbreaks by isolation of cases and contacts,Improving Public Health,COVID-19
Published,Genome-wide Association Analysis in Humans Links Nucleotide Metabolism to Leukocyte Telomere Length.,The Human Phenome,
Published,Predictors of itch and pain in the 12 months following burn injury: results from the Burns Registry of Australia and New Zealand (BRANZ) Long-Term Outcomes Project,Better Care,injuries and accidents
Published,Quantitative Approach to Fragmented QRS in Arrhythmogenic Cardiomyopathy: From Disease towards Asymptomatic Carriers of Pathogenic Variants,Understanding the Causes of Disease,cardiovascular
Published,Data-driven discovery of changes in clinical code usage over time: a case-study on changes in cardiovascular disease recording in two English electronic health records databases (2001-2015),The Human Phenome,
Published,New Horizons in the use of routine data for ageing research.,Improving Public Health,
Published,Risk assessment for hospital admission in patients with COPD; a multi-centre UK prospective observational study.,Better Care,
Published,A Multi-tissue Transcriptome Analysis of Human Metabolites Guides Interpretability of Associations Based on Multi-SNP Models for Gene Expression.,,
Published,Genomic diversity affects the accuracy of bacterial single-nucleotide polymorphism-calling pipelines.,The Human Phenome,
Published,"Carotid Intima-Media Thickness: Novel Loci, Sex-Specific Effects, and Genetic Correlations With Obesity and Glucometabolic Traits in UK Biobank",Understanding the Causes of Disease,
Published,Identifying Homogeneous Patterns of Injury in Paediatric Trauma Patients to Improve Risk-Adjusted Models of Mortality and Functional Outcomes.,Improving Public Health,injuries and accidents
Published,A Practical Guide to Assess the Reproducibility of Echocardiographic Measurements,,
Published,Genome-wide association study of adipocyte lipolysis in the GENetics of adipocyte lipolysis (GENiAL) cohort.,The Human Phenome,
Published,Distinguishing between paediatric brain tumour types using multi-parametric magnetic resonance imaging and machine learning: A multi-site study.,Understanding the Causes of Disease,cancer and neoplasms
Published,A roadmap for restoring trust in Big Data,,
Published,Risk factors for permanent childhood hearing impairment.,Improving Public Health,
Published,"Educational differentials in key domains of physical activity by ethnicity, age and sex: a cross-sectional study of over 40 000 participants in the UK household longitudinal study (2013-2015).",Improving Public Health,
Published,Phenotyping congenital anomalies in administrative hospital records.,Improving Public Health,
Published,Associations between the Home Physical Environment and Children’s Home-Based Physical Activity and Sitting,,
Published,On classifying sepsis heterogeneity in the ICU: insight using machine learning,Applied Analytics,
Published,Dating genomic variants and shared ancestry in population-scale sequencing data.,The Human Phenome,
Published,Bayesian Hierarchical Poisson Models for Multiple Grouped Outcomes with Clustering,,
Published,Metagenomic Nanopore Sequencing of Influenza Virus Direct from Clinical Respiratory Samples,Understanding the Causes of Disease,
Published,Sustained adherence to a Mediterranean diet and physical activity on all-cause mortality in the Melbourne Collaborative Cohort Study: application of the g-formula,"Improving Public Health, Understanding the Causes of Disease",
Published,Hash-Based Core Genome Multilocus Sequence Typing for Clostridium difficile.,The Human Phenome,
Published,Behavioural difficulties in early childhood and risk of adolescent injury,,
Published,Genome-wide association study of eosinophilic granulomatosis with polyangiitis reveals genomic loci stratified by ANCA status,Understanding the Causes of Disease,
Published,Atopic eczema and fracture risk in adults: A population-based cohort study,Understanding the Causes of Disease,
Published,Causal relationships between obesity and the leading causes of death in women and men,Understanding the Causes of Disease,
Published,Efficient Reuse of Natural Language Processing Models for Phenotype-Mention Identification in Free-text Electronic Medical Records: A Phenotype Embedding Approach,Applied Analytics,
Published,Genome-wide analysis identifies molecular systems and 149 genetic loci associated with income,Understanding the Causes of Disease,
Published,Linking surveillance and clinical data for evaluating trends in bloodstream infection rates in neonatal units in England,"Improving Public Health, Understanding the Causes of Disease",
Published,Computational instantaneous wave-free ratio (IFR) for patient-specific coronary artery stenoses using 1D network models.,,cardiovascular
Published,Co-incidence of RCC-susceptibility polymorphisms with HIF cis-acting sequences supports a pathway tuning model of cancer,Understanding the Causes of Disease,
Published,"Drinking beer, wine or spirits – does it matter for inequalities in alcohol-related hospital admission? A record-linked longitudinal study in Wales",Improving Public Health,
Published,Dynamic predictive probabilities to monitor rapid cystic fibrosis disease progression,Understanding the Causes of Disease,
Published,Could Greater Physical Activity Reduce Population Prevalence and Socioeconomic Inequalities in Children’s Mental Health Problems? A Policy Simulation,,
Published,"UVA and Seasonal Patterning of 56 370 Myocardial Infarctions Across Scotland, 2000–2011","Improving Public Health, Understanding the Causes of Disease",
Published,Diagnosis and treatment for hyperuricemia and gout: a systematic review of clinical practice guidelines and consensus statements,,
Published,The association of fish consumption and its urinary metabolites with cardiovascular risk factors: the International Study of Macro-/Micronutrients and Blood Pressure (INTERMAP),Improving Public Health,
Published,Developing a standardised approach to the aggregation of inpatient episodes into person-based spells in all specialties and psychiatric specialties,Improving Public Health,
Published,Identification of Circulating Genomic and Metabolic Biomarkers in Intrahepatic Cholangiocarcinoma.,Understanding the Causes of Disease,cancer and neoplasms
Published,An observational study of INR control according to NICE criteria in patients with non-valvular atrial fibrillation-The SAIL Warfarin Out of Range Descriptors Study (SWORDS),Improving Public Health,
Published,"Long-term mortality in mothers of infants with neonatal abstinence syndrome: A population-based parallel-cohort study in England and Ontario, Canada",Improving Public Health,
Published,Semantic computational analysis of anticoagulation use in atrial fibrillation from real world data,Applied Analytics,
Published,Ontology-based prediction of cancer driver genes,Applied Analytics,
Published,Association of troponin level and age with mortality in 250 000 patients: cohort study across five UK acute care centres,Understanding the Causes of Disease,
Published,"Bleeding in cardiac patients prescribed antithrombotic drugs: electronic health record phenotyping algorithms, incidence, trends and prognosis",The Human Phenome,
Published,Identification of novel common variants associated with chronic pain using conditional false discovery rate analysis with major depressive disorder and assessment of pleiotropic effects of LRFN5,Understanding the Causes of Disease,
Published,PhenoScanner V2: an expanded tool for searching human genotype-phenotype associations,Applied Analytics,
Published,Natural language processing for disease phenotyping in UK primary care records for research: a pilot study in myocardial infarction and death,Applied Analytics,
Published,Data mining information from electronic health records produced high yield and accuracy for current smoking status,The Human Phenome,
Published,Effectiveness of airport screening at detecting travellers infected with novel coronavirus (2019-nCoV).,,
Published,"Diagnosed prevalence of Ehlers-Danlos syndrome and hypermobility spectrum disorder in Wales, UK: a national electronic cohort study and case-control comparison",Improving Public Health,
Published,Associations of autozygosity with a broad range of human phenotypes,"The Human Phenome, Understanding the Causes of Disease",
Published,Genetic Determinants of Lipids and Cardiovascular Disease Outcomes: A Wide-Angled Mendelian Randomization Investigation.,,
Published,Global health competencies in UK postgraduate medical training: a scoping review and curricular content analysis,,
Published,Early Discontinuation of P2Y12 Antagonists and Adverse Clinical Events Post-Percutaneous Coronary Intervention: A Hospital and Primary Care Linked Cohort,"Improving Public Health, Understanding the Causes of Disease",
Published,A Genotype-Guided Strategy for Oral P2Y12 Inhibitors in Primary PCI,Better Care,cardiovascular
Published,Health data processes: A framework for analyzing and discussing efficient use and reuse of health data with a focus on patient-reported outcome measures,,
Published,Improved Performance Predicting Clarithromycin Resistance in Mycobacterium abscessus on an Independent Data Set.,,cancer and neoplasms
Published,Improving the odds of drug development success through human genomics: modelling study,,
Published,Advancing the Use of Mobile Technologies in Clinical Trials: Recommendations from the Clinical Trials Transformation Initiative.,"Better, Faster and More Efficient Clinical Trials",
Published,Over view of major traumatic injury in Australia––Implications for trauma system design,Improving Public Health,
Published,Could greater physical activity reduce population prevalence and socio-economic inequalities in children’s mental health problems? A policy simulation,Improving Public Health,
