id,doi,title,authorString,authorAffiliations,journalTitle,pubYear,abstract
32499256,https://doi.org/10.1136/bmjopen-2019-033424,Point-of-care tests for urinary tract infections: protocol for a systematic review and meta-analysis of diagnostic test accuracy.,"Fraile Navarro D, Sullivan F, Azcoaga-Lorenzo A, Hernandez Santiago V.",,BMJ open,2020,"INTRODUCTION:Urinary tract infections (UTIs) are the second most common type of infection worldwide, accounting for a large number of primary care consultations and antibiotic prescribing. Current diagnosis is based on an empirical approach, relying on symptoms and occasional use of urine dipsticks. The diagnostic reference standard is still urine culture, although it is not routinely recommended for uncomplicated UTIs in the community, due to time to diagnosis (48 hours). Faster point-of-care tests have been developed, but their diagnostic accuracy has not been compared. Our objective is to systematically review and meta-analyse the diagnostic accuracy of currently available point-of-care tests for UTIs. METHODS AND ANALYSIS:Studies evaluating the diagnostic accuracy of point-of-care tests for UTIs will be included. PubMed, Web of Science, Embase and Cochrane Database of Systematic Reviews were searched from inception to 1 June 2019. Data extraction and risk-of-bias assessment will be assessed using the Quality Assessment of Diagnostic Accuracy Studies tool. Meta-analysis will be performed depending on data availability and heterogeneity. ETHICS AND DISSEMINATION:This is a systematic review protocol and therefore formal ethical approval is not required, as no primary, identifiable, personal data will be collected. Patients or the public were not involved in the design of our research. However, the findings from this review will be shared with key stakeholders, including patient groups, clinicians and guideline developers, and will also be presented and national and international conferences. PROSPERO REGISTRATION NUMBER:CRD42018112019."
32300742,https://doi.org/10.1016/j.eclinm.2020.100296,Violence-related knife injuries in a UK city; epidemiology and impact on secondary care resources.,"Malik NS, Munoz B, de Courcey C, Imran R, Lee KC, Chernbumroong S, Bishop J, Lord JM, Gkoutos G, Bowley DM, Foster MA.",,EClinicalMedicine,2020,"Background:The incidence of knife-related injuries is rising across the UK. This study aimed to determine the spectrum of knife-related injuries in a major UK city, with regards to patient and injury characteristics. A secondary aim was to quantify their impact on secondary care resources. Methods:Observational study of patients aged 16+ years admitted to a major trauma centre following knife-related injuries resulting from interpersonal violence (May 2015 to April 2018). Patients were identified using Emergency Department and discharge coding, blood bank and UK national Trauma Audit and Research prospective registries. Patient and injury characteristics, outcome and resource utilisation were collected from ambulance and hospital records. Findings:532 patients were identified; 93% male, median age 26 years (IQR 20-35). Median injury severity score was 9 (IQR 3-13). 346 (65%) underwent surgery; 133 (25%) required intensive care; 95 (17·9%) received blood transfusion. Median length of stay was 3·3 days (IQR 1·7-6·0). In-hospital mortality was 10/532 (1·9%). 98 patients (18·5%) had previous attendance with violence-related injuries. 24/37 females (64·9%) were injured in a domestic setting. Intoxication with alcohol (19·2%) and illicit drugs (17·6%) was common. Causative weapon was household knife in 9%, knife (other/unspecified) in 38·0%, machete in 13·9%, small folding blade (2·8%) and, unrecorded in 36·3%. Interpretation:Knife injuries constitute 12·9% of trauma team workload. Violence recidivism and intoxication are common, and females are predominantly injured in a domestic setting, presenting opportunities for targeted violence reduction interventions. 13·9% of injuries involved machetes, with implications for law enforcement strategies."
32463370,https://doi.org/10.2196/16452,Challenges of Clustering Multimodal Clinical Data: Review of Applications in Asthma Subtyping.,"Horne E, Tibble H, Sheikh A, Tsanas A.",,JMIR medical informatics,2020,"BACKGROUND:In the current era of personalized medicine, there is increasing interest in understanding the heterogeneity in disease populations. Cluster analysis is a method commonly used to identify subtypes in heterogeneous disease populations. The clinical data used in such applications are typically multimodal, which can make the application of traditional cluster analysis methods challenging. OBJECTIVE:This study aimed to review the research literature on the application of clustering multimodal clinical data to identify asthma subtypes. We assessed common problems and shortcomings in the application of cluster analysis methods in determining asthma subtypes, such that they can be brought to the attention of the research community and avoided in future studies. METHODS:We searched PubMed and Scopus bibliographic databases with terms related to cluster analysis and asthma to identify studies that applied dissimilarity-based cluster analysis methods. We recorded the analytic methods used in each study at each step of the cluster analysis process. RESULTS:Our literature search identified 63 studies that applied cluster analysis to multimodal clinical data to identify asthma subtypes. The features fed into the cluster algorithms were of a mixed type in 47 (75%) studies and continuous in 12 (19%), and the feature type was unclear in the remaining 4 (6%) studies. A total of 23 (37%) studies used hierarchical clustering with Ward linkage, and 22 (35%) studies used k-means clustering. Of these 45 studies, 39 had mixed-type features, but only 5 specified dissimilarity measures that could handle mixed-type features. A further 9 (14%) studies used a preclustering step to create small clusters to feed on a hierarchical method. The original sample sizes in these 9 studies ranged from 84 to 349. The remaining studies used hierarchical clustering with other linkages (n=3), medoid-based methods (n=3), spectral clustering (n=1), and multiple kernel k-means clustering (n=1), and in 1 study, the methods were unclear. Of 63 studies, 54 (86%) explained the methods used to determine the number of clusters, 24 (38%) studies tested the quality of their cluster solution, and 11 (17%) studies tested the stability of their solution. Reporting of the cluster analysis was generally poor in terms of the methods employed and their justification. CONCLUSIONS:This review highlights common issues in the application of cluster analysis to multimodal clinical data to identify asthma subtypes. Some of these issues were related to the multimodal nature of the data, but many were more general issues in the application of cluster analysis. Although cluster analysis may be a useful tool for investigating disease subtypes, we recommend that future studies carefully consider the implications of clustering multimodal data, the cluster analysis process itself, and the reporting of methods to facilitate replication and interpretation of findings."
32405103,https://doi.org/10.1016/s0140-6736(20)30854-0,Estimating excess 1-year mortality associated with the COVID-19 pandemic according to underlying conditions and age: a population-based cohort study.,"Banerjee A, Pasea L, Harris S, Gonzalez-Izquierdo A, Torralbo A, Shallcross L, Noursadeghi M, Pillay D, Sebire N, Holmes C, Pagel C, Wong WK, Langenberg C, Williams B, Denaxas S, Hemingway H.",,"Lancet (London, England)",2020,"BACKGROUND:The medical, societal, and economic impact of the coronavirus disease 2019 (COVID-19) pandemic has unknown effects on overall population mortality. Previous models of population mortality are based on death over days among infected people, nearly all of whom thus far have underlying conditions. Models have not incorporated information on high-risk conditions or their longer-term baseline (pre-COVID-19) mortality. We estimated the excess number of deaths over 1 year under different COVID-19 incidence scenarios based on varying levels of transmission suppression and differing mortality impacts based on different relative risks for the disease. METHODS:In this population-based cohort study, we used linked primary and secondary care electronic health records from England (Health Data Research UK-CALIBER). We report prevalence of underlying conditions defined by Public Health England guidelines (from March 16, 2020) in individuals aged 30 years or older registered with a practice between 1997 and 2017, using validated, openly available phenotypes for each condition. We estimated 1-year mortality in each condition, developing simple models (and a tool for calculation) of excess COVID-19-related deaths, assuming relative impact (as relative risks [RRs]) of the COVID-19 pandemic (compared with background mortality) of 1·5, 2·0, and 3·0 at differing infection rate scenarios, including full suppression (0·001%), partial suppression (1%), mitigation (10%), and do nothing (80%). We also developed an online, public, prototype risk calculator for excess death estimation. FINDINGS:We included 3 862 012 individuals (1 957 935 [50·7%] women and 1 904 077 [49·3%] men). We estimated that more than 20% of the study population are in the high-risk category, of whom 13·7% were older than 70 years and 6·3% were aged 70 years or younger with at least one underlying condition. 1-year mortality in the high-risk population was estimated to be 4·46% (95% CI 4·41-4·51). Age and underlying conditions combined to influence background risk, varying markedly across conditions. In a full suppression scenario in the UK population, we estimated that there would be two excess deaths (vs baseline deaths) with an RR of 1·5, four with an RR of 2·0, and seven with an RR of 3·0. In a mitigation scenario, we estimated 18 374 excess deaths with an RR of 1·5, 36 749 with an RR of 2·0, and 73 498 with an RR of 3·0. In a do nothing scenario, we estimated 146 996 excess deaths with an RR of 1·5, 293 991 with an RR of 2·0, and 587 982 with an RR of 3·0. INTERPRETATION:We provide policy makers, researchers, and the public a simple model and an online tool for understanding excess mortality over 1 year from the COVID-19 pandemic, based on age, sex, and underlying condition-specific estimates. These results signal the need for sustained stringent suppression measures as well as sustained efforts to target those at highest risk because of underlying conditions with a range of preventive interventions. Countries should assess the overall (direct and indirect) effects of the pandemic on excess mortality. FUNDING:National Institute for Health Research University College London Hospitals Biomedical Research Centre, Health Data Research UK."
PMC7201389,https://doi.org/10.1038/s42254-020-0178-4,Modelling COVID-19.,"Vespignani A, Tian H, Dye C, Lloyd-Smith JO, Eggo RM, Shrestha M, Scarpino SV, Gutierrez B, Kraemer MUG, Wu J, Leung K, Leung GM.",,Nature Reviews Physics,,"The contributorsAlessandro Vespignani is an Italian-American physicist, currently Sternberg Family Distinguished University Professor of Physics, Computer Science and Health Sciences at Northeastern University in Boston, USA. He is the director of the Network Science Institute, and is best known for his work on complex networks and his contributions to computational epidemiology by developing specific tools for analysing the global spread of epidemics.Huaiyu Tian is a Professor of Ecology and Evolution of Infectious Disease at Beijing Normal University, China, and Oxford Martin Visiting Fellow at the University of Oxford. His interdisciplinary research focuses on the mechanistic processes that link biological and ecological change to disease dynamics. His lab combines geospatial computing, field surveillance, molecular epidemiology and ecological modelling.Christopher Dye is a Visiting Professor of Zoology and Oxford Martin Visiting Fellow at the University of Oxford. He is a former Director of Strategy at the World Health Organization, and is currently editor of coronavirusexplained.ukri.org/en/, a website that explains the science of coronavirus outbreaks, hosted by UK Research and Innovation (UKRI).James O. Lloyd-Smith is a professor in the Department of Ecology and Evolutionary Biology at the University of California, Los Angeles. His research explores the ecological and evolutionary dynamics of infectious disease in animal and human populations, with emphasis on the emergence of novel pathogens. His group combines mathematical models, statistical analysis, and laboratory, clinical and field studies to study diseases such as monkeypox, leptospirosis, influenza and now COVID-19.Rosalind M. Eggo is a mathematical modeller focusing on directly transmitted viral pathogens and the severe outcomes resulting from infection. She works at the London School of Hygiene and Tropical Medicine.Munik Shrestha is a postdoctoral researcher at Northeastern University in the Network Science Institute. He has contributed fundamental theory on message-passing algorithms for estimating the time-varying statistics of epidemics. He received his Ph.D. in physics from the University of New Mexico and was a Santa Fe Institute graduate fellow.Samuel V. Scarpino is an assistant professor in the Network Science Institute at Northeastern University, with appointments in marine and environmental sciences, physics, and health sciences. He is also an ISI Foundation complexity fellow. Scarpino earned a Ph.D. in evolution, ecology and behaviour from the University of Texas at Austin and was a Santa Fe Institute Omidyar postdoctoral fellow.Bernardo Gutierrez is a D.Phil. student in the Department of Zoology at the University of Oxford, and a guest researcher at Universidad San Francisco de Quito. He studies the evolution of emerging viruses and the integration of epidemiological and genomic data to track outbreaks. He began contributing to the Open COVID-19 Data Working Group during the start of the SARS-CoV-2 epidemic in January 2020.Moritz U. G. Kraemer is a research fellow at the University of Oxford and founder of the Open COVID-19 Data Working Group. Moritz is an epidemiologist working on the integration of multiple data streams to better understand the dynamics of emerging infectious diseases.Joseph Wu is a professor in the School of Public Health at the University of Hong Kong. He specializes in disease modelling and data science.Kathy Leung is an infectious disease epidemiologist at the University of Hong Kong. She specializes in mathematical modelling of communicable and non-communicable diseases, including COVID-19, influenza, Middle East respiratory syndrome, human papillomavirus, colorectal cancer and breast cancer.Gabriel M. Leung is an infectious disease epidemiologist, Dean of Medicine and Zimmern Professor of Population Health at the University of Hong Kong."
31462651,https://doi.org/10.1038/s41598-019-48927-2,Hierarchical Template Matching for 3D Myocardial Tracking and Cardiac Strain Estimation.,"Bhalodiya JM, Palit A, Ferrante E, Tiwari MK, Bhudia SK, Arvanitis TN, Williams MA.",,Scientific reports,2019,"Myocardial tracking and strain estimation can non-invasively assess cardiac functioning using subject-specific MRI. As the left-ventricle does not have a uniform shape and functioning from base to apex, the development of 3D MRI has provided opportunities for simultaneous 3D tracking, and 3D strain estimation. We have extended a Local Weighted Mean (LWM) transformation function for 3D, and incorporated in a Hierarchical Template Matching model to solve 3D myocardial tracking and strain estimation problem. The LWM does not need to solve a large system of equations, provides smooth displacement of myocardial points, and adapt local geometric differences in images. Hence, 3D myocardial tracking can be performed with 1.49 mm median error, and without large error outliers. The maximum error of tracking is up to 24% reduced compared to benchmark methods. Moreover, the estimated strain can be insightful to improve 3D imaging protocols, and the computer code of LWM could also be useful for geo-spatial and manufacturing image analysis researchers."
31249320,https://doi.org/10.1038/s41598-019-45562-9,"Antenatal exposure to solar radiation and learning disabilities: Population cohort study of 422,512 children.","Hastie CE, Mackay DF, Clemens TL, Cherrie MPC, King A, Dibben C, Pell JP.",,Scientific reports,2019,"Learning disability varies by month of conception. The underlying mechanism is unknown but vitamin D, necessary for normal brain development, is commonly deficient over winter in high latitude countries due to insufficient ultraviolet radiation. We linked the 2007-2016 Scottish School Pupil Censuses to Scottish maternity records and to sunshine hours and antenatal ultraviolet A/B radiation exposure derived from weather stations and satellites respectively. Logistic regression analyses were used to explore the associations between solar radiation, then ultraviolet B, and learning disabilities, adjusting for the potential confounding effects of month of conception and sex. Of the 422,512 eligible, singleton schoolchildren born at term in Scotland, 79,616 (18.8%) had a learning disability. Total antenatal sunshine hours (highest quintile; adjusted OR 0.89; 95% CI: 0.86, 0.93; p < 0.001) and ultraviolet B exposure (highest quintile; adjusted OR 0.55; 95% CI: 0.51, 0.60; p < 0.001) were inversely associated with learning disabilities with evidence of a dose-relationship. The latter association was independent of ultraviolet A exposure. Significant associations were demonstrated for exposure in all three trimesters. Low maternal exposure to ultraviolet B radiation may play a role in the seasonal patterning of learning disabilities. Further studies are required to corroborate findings and determine the effectiveness of supplements."
32341912,https://doi.org/10.1177/2235042x19893470,Urban-rural and socioeconomic status: Impact on multimorbidity prevalence in hospitalized patients.,"Robertson L, Ayansina D, Johnston M, Marks A, Black C.",,Journal of comorbidity,2020,"Objective:The aim of this study was to describe multimorbidity prevalence in hospitalized adults, by urban-rural area of residence and socioeconomic status (SES). Methods:Linked hospital episode data were used. Adults (≥18 years) admitted to hospital as an inpatient during 2014 in Grampian, Scotland, were included. Conditions were identified from admissions during the 5 years prior to the first admission in 2014. Multimorbidity was defined as ≥2 conditions and measured using Tonelli et al. based on International Classification of Diseases-10 coding (preselected list of 30 conditions). We used proportions and 95% confidence intervals (CIs) to summarize the prevalence of multimorbidity by age group, sex, urban-rural category and deprivation. The association between multimorbidity and patient characteristics was assessed using the χ 2 test. Results:Forty one thousand five hundred and forty-five patients were included (median age 62, 52.6% female). Overall, 27.4% (95% CI 27.0, 27.8) of patients were multimorbid. Multimorbidity prevalence was 28.8% (95% CI 28.1, 29.5) in large urban versus 22.0% (95% CI 20.9, 23.3) in remote rural areas and 28.7% (95% CI 27.2, 30.3) in the most deprived versus 26.0% (95% CI 25.2, 26.9) in the least deprived areas. This effect was consistent in all age groups, but not statistically significant in the age group 18-29 years. Multimorbidity increased with age but was similar for males and females. Conclusion:Given the scarcity of research into the effect of urban-rural area and SES on multimorbidity prevalence among hospitalized patients, these findings should inform future research into new models of care, including the consideration of urban-rural area and SES."
31532828,https://doi.org/10.1210/clinem/dgz006,Increased Infection Risk in Addison's Disease and Congenital Adrenal Hyperplasia.,"Tresoldi AS, Sumilo D, Perrins M, Toulis KA, Prete A, Reddy N, Wass JAH, Arlt W, Nirantharakumar K.",,The Journal of clinical endocrinology and metabolism,2020,"CONTEXT:Mortality and infection-related hospital admissions are increased in patients with primary adrenal insufficiency (PAI). However, the risk of primary care-managed infections in patients with PAI is unknown. OBJECTIVE:To estimate infection risk in PAI due to Addison's disease (AD) and congenital adrenal hyperplasia (CAH) in a primary care setting. DESIGN:Retrospective cohort study using UK data collected from 1995 to 2018. MAIN OUTCOME MEASURES:Incidence of lower respiratory tract infections (LRTIs), urinary tract infections (UTIs), gastrointestinal infections (GIIs), and prescription counts of antimicrobials in adult PAI patients compared to unexposed controls. RESULTS:A diagnosis of PAI was established in 1580 AD patients (mean age 51.7 years) and 602 CAH patients (mean age 35.4 years). All AD patients and 42% of CAH patients were prescribed glucocorticoids, most frequently hydrocortisone in AD (82%) and prednisolone in CAH (50%). AD and CAH patients exposed to glucocorticoids, but not CAH patients without glucocorticoid treatment, had a significantly increased risk of LRTIs (adjusted incidence rate ratio AD 2.11 [95% confidence interval (CI) 1.64-2.69], CAH 3.23 [95% CI 1.21-8.61]), UTIs (AD 1.51 [95% CI 1.29-1.77], CAH 2.20 [95% CI 1.43-3.34]), and GIIs (AD 3.80 [95% CI 2.99-4.84], CAH 1.93 [95% CI 1.06-3.52]). This was mirrored by increased prescription of antibiotics (AD 1.73 [95% CI 1.69-1.77], CAH 1.77 [95% CI 1.66-1.89]) and antifungals (AD 1.89 [95% CI 1.74-2.05], CAH 1.91 [95% CI 1.50-2.43]). CONCLUSIONS:There is an increased risk of infections and antimicrobial use in PAI in the primary care setting at least partially linked to glucocorticoid treatment. Future studies will need to address whether more physiological glucocorticoid replacement modes could reduce this risk."
32180562,https://doi.org/10.1016/j.molmet.2020.01.009,Genome-wide association study of adipocyte lipolysis in the GENetics of adipocyte lipolysis (GENiAL) cohort.,"Kulyté A, Lundbäck V, Lindgren CM, Luan J, Lotta LA, Langenberg C, Arner P, Strawbridge RJ, Dahlman I.",,Molecular metabolism,2020,"OBJECTIVES:Lipolysis, hydrolysis of triglycerides to fatty acids in adipocytes, is tightly regulated, poorly understood, and, if perturbed, can lead to metabolic diseases including obesity and type 2 diabetes. The goal of this study was to identify the genetic regulators of lipolysis and elucidate their molecular mechanisms. METHODS:Adipocytes from abdominal subcutaneous adipose tissue biopsies were isolated and were incubated without (spontaneous lipolysis) or with a catecholamine (stimulated lipolysis) to analyze lipolysis. DNA was extracted and genome-wide genotyping and imputation conducted. After quality control, 939 samples with genetic and lipolysis data were available. Genome-wide association studies of spontaneous and stimulated lipolysis were conducted. Subsequent in vitro gene expression analyses were used to identify candidate genes and explore their regulation of adipose tissue biology. RESULTS:One locus on chromosome 19 demonstrated genome-wide significance with spontaneous lipolysis. 60 loci showed suggestive associations with spontaneous or stimulated lipolysis, of which many influenced both traits. In the chromosome 19 locus, only HIF3A was expressed in the adipocytes and displayed genotype-dependent gene expression. HIF3A knockdown in vitro increased lipolysis and the expression of key lipolysis-regulating genes. CONCLUSIONS:In conclusion, we identified a genetic regulator of spontaneous lipolysis and provided evidence of HIF3A as a novel key regulator of lipolysis in subcutaneous adipocytes as the mechanism through which the locus influences adipose tissue biology."
